id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
FEAT-001,Create project,protected,"[""E08""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-001
group: Project and files
feature: Create project
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-002,Open project,protected,"[""E08""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-002
group: Project and files
feature: Open project
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-003,Recent projects,protected,"[""E08""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-003
group: Project and files
feature: Recent projects
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-004,Duplicate project,protected,"[""E08""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-004
group: Project and files
feature: Duplicate project
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-005,Archive project,protected,"[""E07""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-005
group: Project and files
feature: Archive project
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-006,Restore project,protected,"[""E08""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-006
group: Project and files
feature: Restore project
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-007,Clean .arq export,protected,"[""E20""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-007
group: Project and files
feature: Clean .arq export
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-008,Linked external .arq document,planned,"[""E07""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-008
group: Project and files
feature: Linked external .arq document
stage: R2
status: planned
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-009,Project templates,protected,"[""E08""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-009
group: Project and files
feature: Project templates
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-010,Safe mode,protected,"[""E07""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-010
group: Project and files
feature: Safe mode
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-011,Recovery centre,protected,"[""E07""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-011
group: Project and files
feature: Recovery centre
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
FEAT-012,Project diagnostics,protected,"[""E24""]",docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/incoming/blueprint-revisions/FULL-PLATFORM-FEATURE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: FEAT-012
group: Project and files
feature: Project diagnostics
stage: R1
status: protected
dependency: See command and entity catalogues
quality_gate: Usability, correctness, recovery, accessibility, performance and security
claim_rule: Do not market as available before release evidence",,,,,,,,,
