id,phase,phase_title,owner,stage,depends_on,work,acceptance,state
E00-O01,E00,Repository truth and integration recovery,executor,P0,,"Reconcile main and the legacy default at exact SHAs using ADR-0029; preserve both histories, retarget PRs deliberately and separate repository rename from product naming.","Accepted integration record, no lost changes, CI/deployment sources agree, rollback rehearsed before any old branch is retired.",planned
E00-O02,E00,Repository truth and integration recovery,executor,P0,,"Inventory primary and older dirty trees, snapshot branch, all remote heads and unmerged patches; hash candidate files and assign a disposition to every branch.","Each delta is retained, integrated, superseded with evidence, or intentionally deferred; no blanket reset or bulk merge.",planned
E00-O03,E00,Repository truth and integration recovery,executor,P0,,"Close the current formatting failure and triage failed PR checks by cause; preserve #361 App.tsx, #363 browser, #365 graph, #495 marketing, #496 selection evidence and #499 overlay ownership.","Candidate checks pass on the reconciled revision; a docs-only failure, environment failure and product regression remain separately identified.",planned
E00-O04,E00,Repository truth and integration recovery,executor,P0,,"Adopt this package through #444/#370, link requirements and refresh the capability ledger, ownership protocol and CTO checkpoint.","No unowned source record; current integration SHA, capability evidence and next safe frontier are generated without declaring features complete from issue state.",planned
E01-O01,E01,Founding product thesis and architect research,product-architecture,P0 + P1A,E00,Reconstruct the July 21 thesis and interview evidence; validate independent architects and small residential practices as the first audience.,"Interview notes distinguish observed pain, frequency, existing workaround and willingness to change; unperformed interviews remain pending.",planned
E01-O02,E01,Founding product thesis and architect research,product-architecture,P0 + P1A,E00,Run the two six-architect interview rounds and hands-on competitor workflow benchmark; use identical residential tasks and record constraints.,"Twelve sessions are targeted by existing issues; recruit mix and consent are recorded, and benchmark results are observations rather than borrowed marketing claims.",planned
E01-O03,E01,Founding product thesis and architect research,product-architecture,P0 + P1A,E00,"Define the protected two-level house journey and test first-wall, first-correct-sheet, portable reopen and recovery comprehension.","Task scripts and success measures are approved before alpha, with baseline timings and assistance recorded.",planned
E01-O04,E01,Founding product thesis and architect research,product-architecture,P0 + P1A,E00,"Maintain an adopt/adapt/defer/reject research ledger for Pascal, Archaiflow and AI architecture comparisons.","Every adopted suggestion has user evidence, provenance, licence review where relevant, affected contract and an existing owner; no competitor feature automatically becomes scope.",planned
E02-O01,E02,Capability contracts and release boundaries,product-architecture,P0,E00,"Map every promised feature to UI entry, command, typed operation, storage, derived views, tests, support documentation and release stage.","The 265 feature-catalogue rows retain their original stages and status; unsupported, research-only and shipped are distinct.",planned
E02-O02,E02,Capability contracts and release boundaries,product-architecture,P0,E00,"Preserve Core Release 1, Exchange Release 2, bounded AI/documentation Release 3 and native value Release 4 while mapping the newer P0-P10 trajectory.",A signed scope baseline names required and excluded features for each release; the new E-phases do not silently change those commitments.,planned
E02-O03,E02,Capability contracts and release boundaries,product-architecture,P0,E00,Unify product and UX ownership from #493: semantic owners supply operations; UX issues expose and test them.,"Walls, openings, rooms, dimensions, notes, levels, sheets, Agent and selection each have one authority and a shared completion gate.",planned
E02-O04,E02,Capability contracts and release boundaries,product-architecture,P0,E00,"Define versioned interface and compatibility contracts, stable requirement IDs and evidence freshness.","Unknowns have decision IDs, owners and due gates; proposed ADRs cannot be cited as accepted, and changes invalidate dependent evidence.",planned
E03-O01,E03,"Units, coordinates and tolerance decisions",geometry-bim,P0 + P1,E02,"Complete the canonical-unit spike with metric/imperial, extreme coordinates, import origins, round trips and TS/Rust parity.","ADR-0004 and the decision register record measured alternatives, selected representation, limits and migration impact.",planned
E03-O02,E03,"Units, coordinates and tolerance decisions",geometry-bim,P0 + P1,E02,"Separate canonical storage, display units, decimal locale, snapping distance, topological tolerance and rendering precision.","Unit/locale changes do not change the building; NaN, infinity, overflow and invalid scales are refused without a commit.",planned
E03-O03,E03,"Units, coordinates and tolerance decisions",geometry-bim,P0 + P1,E02,"Calibrate the tolerance ladder for point equality, intersection, joins, room closure, minimum openings and export precision.",Boundary/property fixtures cover both sides of each threshold and produce stable results across supported execution engines.,planned
E03-O04,E03,"Units, coordinates and tolerance decisions",geometry-bim,P0 + P1,E02,"Version IDs and semantic subreferences for edges, faces, hosts, dimensions, review anchors and Agent proposals.",References survive supported edits and become explicitly invalid when topology changes; no index-based silent retargeting.,planned
E04-O01,E04,"Commands, tools, selection and focus authority",editor-interaction,P0 + UX-0/2,E02,"Reuse merged #396/#398/#403 audit evidence, finish #401 through PR #496, and verify current command/selection evidence before broad shell changes.","Every CMD catalogue item is runnable, deliberately unavailable with a reason, or later-stage; no invented command succeeds through a demo note.",planned
E04-O02,E04,"Commands, tools, selection and focus authority",editor-interaction,P0 + UX-0/2,E02,"Create one metadata/dispatch contract for palette, toolbar, shortcuts and context menus, with capability and permission checks.",The same command produces the same result from every entry; Share and Account never add model undo history when unavailable.,planned
E04-O03,E04,"Commands, tools, selection and focus authority",editor-interaction,P0 + UX-0/2,E02,"Unify selected set, primary item, active tool, active level/view and keyboard focus across Plan, 3D, tree and inspector.","Hidden/locked/deleted targets, multi-selection and primary-selection transitions are covered by deterministic and browser tests.",planned
E04-O04,E04,"Commands, tools, selection and focus authority",editor-interaction,P0 + UX-0/2,E02,"Standardise pointer capture, preview, exact entry, Enter, Escape, cancel, focus restoration and grouped undo.",Cancel leaves canonical state unchanged; IME/editable fields do not fire global shortcuts; modal and tool transitions restore useful focus.,planned
E05-O01,E05,Lossless canonical model and typed operations,geometry-bim,P0 + P1,E03,Implement the reference-model writer and typed semantic mutations over existing BIM contracts.,"Rich fixtures retain untouched levels, types, rooms, openings, placed content, services, pathways, views and metadata after edit/publish/reopen.",planned
E05-O02,E05,Lossless canonical model and typed operations,geometry-bim,P0 + P1,E03,"Define create/update/delete and inverse contracts with explicit project, revision, element, level and type identity.",Missing identities and stale revisions fail before mutation; flat models never silently replace rich reference models.,planned
E05-O03,E05,Lossless canonical model and typed operations,geometry-bim,P0 + P1,E03,"Make validation and dependency policy explicit for hosted objects, rooms, dimensions, views and future plugins.","Delete, move, split and type edits either preserve/recompute dependants or refuse with a useful explanation; no dangling references.",planned
E05-O04,E05,Lossless canonical model and typed operations,geometry-bim,P0 + P1,E03,"Generate invalidation from committed semantic changes to plan, model, tree, inspector and documents.",Every consumer converges on one revision; renderer state and cached meshes never become project truth.,planned
E06-O01,E06,Durable editor transactions and portable publication,arqfs-recovery,P0 + UX-5,E05,Finish and reconcile PR #361's native persistence bridge; keep demo journaling scoped to no-native-project mode.,"Forward edit, undo and redo use the existing native session queue; read-only and unsupported reference writes fail honestly.",planned
E06-O02,E06,Durable editor transactions and portable publication,arqfs-recovery,P0 + UX-5,E05,"Commit typed operations, inverse/history and durable revision metadata with acknowledgement semantics.",Failures before/during/after a Worker write never create partial canonical commits or a false saved state; subsequent valid work can recover.,planned
E06-O03,E06,Durable editor transactions and portable publication,arqfs-recovery,P0 + UX-5,E05,Consolidate Save a copy and Publish into one snapshot/checkpoint/export/fresh-reader verification path.,"Identity, revision, checksums, semantic equivalence and absence of WAL/SHM dependencies are checked before portable bytes are delivered.",planned
E06-O04,E06,Durable editor transactions and portable publication,arqfs-recovery,P0 + UX-5,E05,"Handle queued edits during publish/close/project switching, cancelled download and failed file delivery.",A later edit is not falsely included in an earlier copy; delivery cancellation does not advance the delivered-copy state or overwrite the source file.,planned
E07-O01,E07,"Migration, recovery and storage pressure",arqfs-recovery,P1 + UX-5,E06,"Revalidate merged #357 copy-on-write migration through the current UI, preserving source bytes and quarantining failed copies.","Old/new schema, truncated file, wrong application ID, interrupted migration and sidecar-dependent files each produce the correct refusal or recoverable copy.",planned
E07-O02,E07,"Migration, recovery and storage pressure",arqfs-recovery,P1 + UX-5,E06,"Prove crash and restart recovery across edits, close, publish, Worker termination and browser shutdown.","Recovery identifies project, source revision, recovered revision and losses; restore/discard is inspectable and never destroys the only good copy.",planned
E07-O03,E07,"Migration, recovery and storage pressure",arqfs-recovery,P1 + UX-5,E06,"Add quota, eviction, denied persistence, full disk and low-memory pressure handling with an export escape path.","Local working copy, recovery journal and independent portable backup are distinct in UI; storage failure cannot report saved.",planned
E07-O04,E07,"Migration, recovery and storage pressure",arqfs-recovery,P1 + UX-5,E06,"Enforce single-writer identity across tabs, duplicate filenames, stale replies and A→B→A switching.",Wrong-project writes are impossible in injected races; lock acquisition/release and abandoned-session recovery have bounded outcomes.,planned
E08-O01,E08,"New, open, recent and project lifecycle",arqfs-recovery,P1,E07,"Create a real native project from New with project identity, units, initial level, naming and useful sample choices.","A newly created project can be edited, exported, closed and independently reopened without first importing an existing file.",planned
E08-O02,E08,"New, open, recent and project lifecycle",arqfs-recovery,P1,E07,"Support open, recent, rename, duplicate and close with explicit unsaved/in-flight-write decisions.",Recents are scoped to recoverable identities; duplicate creates a new identity; stale entries provide a safe path rather than an empty shell.,planned
E08-O03,E08,"New, open, recent and project lifecycle",arqfs-recovery,P1,E07,Design archive/delete/restore and retention for local ownership first and later cloud ownership separately.,"Destructive actions explain affected copies, preserve recoverability where promised and cannot delete a different project's resources.",planned
E08-O04,E08,"New, open, recent and project lifecycle",arqfs-recovery,P1,E07,"Make first-run, unsupported-version, no-project and recovery entry states discoverable.","A novice can find New/Open/sample and explain where work is stored without knowing OPFS, SQLite or Worker terminology.",planned
E09-O01,E09,Security and supply-chain foundations,security,P0 + P1,E02,"Threat-model untrusted .arq/SQLite/archive, images/PDF, DXF/IFC, scripts, Worker messages and remote links.","Parser size, expansion, nesting, entity, CPU and time limits are enforced; cancellation terminates expensive work and leaves committed data unchanged.",planned
E09-O02,E09,Security and supply-chain foundations,security,P0 + P1,E02,"Review origin isolation, CSP, navigation/URL handling, dependency licence inventory and secret boundaries.",No exploitable critical/high finding remains in enabled shipping paths; malformed fixtures and injection attempts fail safely.,planned
E09-O03,E09,Security and supply-chain foundations,security,P0 + P1,E02,"Inventory dependencies, pinned toolchains, SBOM, notices, native libraries, model weights and update provenance.",Each shipped artefact has a reproducible dependency bill and reviewed distribution obligations; dependency PRs are upgraded in compatible groups with regression evidence.,planned
E09-O04,E09,Security and supply-chain foundations,security,P0 + P1,E02,"Create vulnerability intake, advisory, patch and compromised-release procedures.","A tabletop exercise assigns containment, disclosure, revoked credentials/artefacts and recovery to named owners; no fabricated security certification.",planned
E10-O01,E10,Visual system and canvas-first shell,ui-visual,UX-1,E04,"Preserve brand.v4, shell tokens, functional material and dark appearance authority; reconcile portal typography, icon gaps and local constants.",Shared surfaces consume owned tokens; arbitrary values have documented geometric or optical reasons.,planned
E10-O02,E10,Visual system and canvas-first shell,ui-visual,UX-1,E04,Define desktop panel resize/collapse/docking/reopen and overlay exclusion zones before root composition.,"Menus, dialogs, tool HUD, toasts and drawers have predictable stacking; no control or error message covers a critical action.",planned
E10-O03,E10,Visual system and canvas-first shell,ui-visual,UX-1,E04,Implement root shell composition only after #361 ownership is resolved; separate reusable state primitives from root wiring.,"Useful canvas space remains at supported viewport sizes, and empty/loading/read-only/error states have one clear next action.",planned
E10-O04,E10,Visual system and canvas-first shell,ui-visual,UX-1,E04,"Review light/dark, increased contrast, reduced transparency, 200% zoom and long/localised text at real DPRs.","Visual diffs are explained, focus/disabled/selected states remain distinct and baselines are never reset merely to hide regressions.",planned
E11-O01,E11,Complete wall authoring and editing,geometry-bim,P1 + UX-3,"E04, E05, E06, E10","Deliver straight-wall drawing with exact length/angle, chaining, live snapping and typed semantic context.","Preview and committed geometry agree; zero-length, duplicate, out-of-range and cancelled segments leave state unchanged.",planned
E11-O02,E11,Complete wall authoring and editing,geometry-bim,P1 + UX-3,"E04, E05, E06, E10","Complete endpoints, reshape, move, copy, rotate, mirror, trim, extend, split and offset within declared Core support.",Unsupported modifiers are disabled; valid changes preserve identity and form a deliberate undo group.,planned
E11-O03,E11,Complete wall authoring and editing,geometry-bim,P1 + UX-3,"E04, E05, E06, E10","Resolve butt, mitre, T and cross joins, wall thickness/type and intersections with one tolerance policy.",Adversarial join fixtures are deterministic and plan/3D/PDF show equivalent geometry without inverted solids or gaps.,planned
E11-O04,E11,Complete wall authoring and editing,geometry-bim,P1 + UX-3,"E04, E05, E06, E10","Propagate wall edits to hosted openings, rooms, dimensions and dependent drawings.","Delete/split/reshape has an explicit dependency result, survives portable reopen and never silently detaches an opening or measurement.",planned
E12-O01,E12,"Hosted openings, doors and windows",geometry-bim,P1 + UX-3,E11,Wire door and window placement to valid host wall/level/type with snapped preview and host highlighting.,"Off-wall, too-wide, out-of-bounds and overlapping placements refuse before commit.",planned
E12-O02,E12,"Hosted openings, doors and windows",geometry-bim,P1 + UX-3,E11,"Expose door hand, side and swing plus window width, height and sill with exact numeric entry.",Inspector and direct controls agree; type/instance and mixed-selection edits are clear and atomic.,planned
E12-O03,E12,"Hosted openings, doors and windows",geometry-bim,P1 + UX-3,E11,"Maintain openings during wall reversal, movement, split, thickness changes and deletion.",Deterministic host remap/cascade/refusal policy prevents orphan references and geometric overlap.,planned
E12-O04,E12,"Hosted openings, doors and windows",geometry-bim,P1 + UX-3,E11,"Prove plan symbols, 3D cutouts, schedules where enabled, PDF and reopened archive agreement.",Rich fixture round trips retain all unaffected entities; undo/redo restores exact host and infill relationships.,planned
E13-O01,E13,"Rooms, topology and areas",geometry-bim,P1 + UX-3,"E11, E12",Connect room placement/detection to the canonical boundary graph and active level.,"Bounded, unbounded, nested, concave and self-intersecting cases report accurate topology rather than a plausible fill.",planned
E13-O02,E13,"Rooms, topology and areas",geometry-bim,P1 + UX-3,"E11, E12","Provide gap diagnostics, zoom-to-problem, room identity/name/number and area display.",A user can find and repair a near-gap; exact area definitions and units are documented.,planned
E13-O03,E13,"Rooms, topology and areas",geometry-bim,P1 + UX-3,"E11, E12",Recompute rooms after host changes with incremental invalidation and stable identity policies.,"Splits/merges/deleted boundaries never leave stale labels, quantities or orphan room references.",planned
E13-O04,E13,"Rooms, topology and areas",geometry-bim,P1 + UX-3,"E11, E12",Validate geometry and usability against independent hand-calculated fixtures and real plans.,"Holes, slivers, near-coincident edges and extreme scales produce deterministic area or actionable refusal; no building-code compliance claim.",planned
E14-O01,E14,"Levels, types and building hierarchy",geometry-bim,P1 + UX-4,"E05, E06, E10",Implement level create/rename/elevation/duplicate/delete using canonical operations.,"Dependent elements are moved, copied or refused explicitly; no implicit vertical shift or cross-level deletion.",planned
E14-O02,E14,"Levels, types and building hierarchy",geometry-bim,P1 + UX-4,"E05, E06, E10","Provide compact level switching, visibility and isolation in Plan and 3D.",View context and selection remain coherent when active elements are hidden or a level is deleted.,planned
E14-O03,E14,"Levels, types and building hierarchy",geometry-bim,P1 + UX-4,"E05, E06, E10",Separate reusable types from instance overrides for walls/openings and material properties.,Editing a type shows affected instances and uses one transaction/undo group with correct derived updates.,planned
E14-O04,E14,"Levels, types and building hierarchy",geometry-bim,P1 + UX-4,"E05, E06, E10","Exercise multi-level project switching, duplicate names, negative elevations and imported level IDs.",Stable IDs survive save/publish/reopen; label text is never used as semantic identity.,planned
E15-O01,E15,Image and PDF underlays,interoperability,P1,"E08, E09, E10","Implement image ingress, scale calibration, placement, rotate, opacity, lock and tracing with resource provenance.",Two-point known-distance calibration survives save/reopen and does not alter canonical project units.,planned
E15-O02,E15,Image and PDF underlays,interoperability,P1,"E08, E09, E10","Bound image dimensions/decoded memory, orientation metadata and unsupported encodings.",Corrupt/oversized/cancelled imports preserve the current model and report the failing resource.,planned
E15-O03,E15,Image and PDF underlays,interoperability,P1,"E08, E09, E10","Add PDF underlay only after the image path is proven: page selection, declared raster/vector treatment and scale.","Multi-page, rotated, cropped and unusual page-size fixtures preserve measured distance within the approved tolerance.",planned
E15-O04,E15,Image and PDF underlays,interoperability,P1,"E08, E09, E10","Track source replacement, resource cleanup, missing source and export participation.",Replacing a reference is explicit and reversible; removing an underlay cannot remove unrelated content-addressed resources.,planned
E16-O01,E16,Associative dimensions and precision annotation,geometry-bim,P1 + UX-3,"E03, E11, E14",Implement linear dimension placement and edits using stable semantic subreferences.,Dimension endpoints track supported geometry edits and become visibly broken when a reference no longer exists.,planned
E16-O02,E16,Associative dimensions and precision annotation,geometry-bim,P1 + UX-3,"E03, E11, E14","Separate displayed precision, rounded labels, actual measurements and user overrides.",Metric/imperial formatting and locale separators never round canonical geometry or masquerade as measured values.,planned
E16-O03,E16,Associative dimensions and precision annotation,geometry-bim,P1 + UX-3,"E03, E11, E14","Handle aligned/horizontal/vertical dimensions, text placement and crowded chains within the declared subset.","Small scale, zoom, long labels and overlapping annotations remain legible in Plan and PDF.",planned
E16-O04,E16,Associative dimensions and precision annotation,geometry-bim,P1 + UX-3,"E03, E11, E14","Validate wall split/delete/rehost, copy, undo/redo, level switch and publication cases.","A dimension never silently points to another element, and independent reopened output reproduces the intended measurement.",planned
E17-O01,E17,"Notes, labels and text editing",editor-interaction,P1 + UX-3,"E04, E06, E10","Deliver durable text-note placement, in-place editing, selection and inspector properties.","Notes are canonical content with typed inverses, not demo journal notes or DOM-only state.",planned
E17-O02,E17,"Notes, labels and text editing",editor-interaction,P1 + UX-3,"E04, E06, E10","Support multiline, Unicode, IME, copy/paste, wrapping, style and text extent calculations.",Editing text never triggers drawing shortcuts or loses composed input; unsafe markup is treated as text.,planned
E17-O03,E17,"Notes, labels and text editing",editor-interaction,P1 + UX-3,"E04, E06, E10",Make room labels and annotations collision-aware and selectable with semantic alternatives.,Label movement does not alter room geometry; screen readers can inspect the text and associated entity.,planned
E17-O04,E17,"Notes, labels and text editing",editor-interaction,P1 + UX-3,"E04, E06, E10","Verify font embedding/fallback, print text bounds and archive round trips.","Plan, sheet, vector PDF and reopened project retain content and declared typography without silent clipping.",planned
E18-O01,E18,Coordinated Plan and orthographic 3D,rendering-performance,P1 + UX-4,"E05, E11, E12, E13, E14","Productionise Plan projection, lineweights, selection, snap glyphs, clipping and visible-level filtering.",Canonical edits invalidate the correct regions and preserve architectural scale and intended visual hierarchy.,planned
E18-O02,E18,Coordinated Plan and orthographic 3D,rendering-performance,P1 + UX-4,"E05, E11, E12, E13, E14","Productionise derived orthographic 3D, wall/opening meshes, materials, orbit, fit/reset and shared picking.","Plan/3D/tree select the same IDs; no stale meshes, invisible picks or camera loss after supported updates.",planned
E18-O03,E18,Coordinated Plan and orthographic 3D,rendering-performance,P1 + UX-4,"E05, E11, E12, E13, E14",Restrict direct 3D edits to explicit semantic operations and hand off unsupported edits clearly.,The 3D viewer cannot mutate mesh-only state and imply durable architectural change.,planned
E18-O04,E18,Coordinated Plan and orthographic 3D,rendering-performance,P1 + UX-4,"E05, E11, E12, E13, E14","Handle WebGL context loss, init failure, weak GPU and renderer fallback.","Users can keep or export their project, errors are actionable, and rendering degradation never changes canonical geometry.",planned
E19-O01,E19,Model browser and inspector,editor-interaction,P1 + UX-4,"E04, E05, E14, E18","Deliver hierarchy/search/filtering for real levels, objects, types and views, including empty and inaccessible results.","Large-tree virtualisation preserves keyboard navigation, stable selection and meaningful announcements.",planned
E19-O02,E19,Model browser and inspector,editor-interaction,P1 + UX-4,"E04, E05, E14, E18","Expose identity, geometry, type/instance, relationships, warnings and history through the owned semantic model.",No property is invented from display labels; read-only and unsupported properties state why.,planned
E19-O03,E19,Model browser and inspector,editor-interaction,P1 + UX-4,"E04, E05, E14, E18","Unify exact numeric inputs, mixed-value states, validation, multi-edit and transaction boundaries.",A multi-selection edit succeeds atomically or reports per-policy refusal with no partial committed state.,planned
E19-O04,E19,Model browser and inspector,editor-interaction,P1 + UX-4,"E04, E05, E14, E18","Test selection/focus across tree, inspector, Plan/3D, hidden levels and deleted entities.","Inspector data matches current revision and focus remains usable after rerender, filter and navigation.",planned
E20-O01,E20,One live plan sheet and verified vector PDF,interoperability,P1 + UX-6,"E15, E16, E17, E18, E19","Create a durable plan-sheet model with page size/orientation, live viewport, scale, placement and supported title/metadata.",Sheet edits persist and reference current semantic content rather than a stale screenshot.,planned
E20-O02,E20,One live plan sheet and verified vector PDF,interoperability,P1 + UX-6,"E15, E16, E17, E18, E19","Implement viewport selection, direct arrangement, numeric scale and print preview using shared commands.","Paper dimensions, model units and viewport scale have separate fields and cannot silently multiply each other.",planned
E20-O03,E20,One live plan sheet and verified vector PDF,interoperability,P1 + UX-6,"E15, E16, E17, E18, E19","Generate vector PDF with embedded fonts, stable lineweights, labels, clipping and declared limitations.",Independently inspect physical page dimensions and known distances in at least two readers; compare PDF semantics with the current sheet.,planned
E20-O04,E20,One live plan sheet and verified vector PDF,interoperability,P1 + UX-6,"E15, E16, E17, E18, E19","Provide export preflight, progress, cancel, failure and delivery feedback.",Unsupported features are reported before export; cancellation or memory exhaustion leaves the project untouched and never reports a delivered file.,planned
E21-O01,E21,Accessible architectural workflow,accessibility,P1 + UX-8,"E10, E19, E20","Provide semantic alternatives to canvas selection, inspection, property edits and commands.","Keyboard/screen-reader users can open, select, edit, undo, export and recover without pointer-only dependencies.",planned
E21-O02,E21,Accessible architectural workflow,accessibility,P1 + UX-8,"E10, E19, E20","Close focus order, focus visibility, modal restoration, status announcement and shortcut conflicts.",No keyboard traps or obscured essential focus; errors identify the field and recovery action without excessive live-region chatter.,planned
