requested_owner,existing_path,existing_symbol,state,conflict,adaptation
workspace shell,packages/design-system/src/workspace/workspace-root.tsx,WorkspaceRoot,implemented,none,"Extend. V13's floating composition is already carried by workspace-shell.css under (pointer: fine) and (min-width: 1180px); no second shell."
project state,apps/web/src/App.tsx + packages/workspace/src,"App, mode-state.ts",implemented,none,"Extend the existing host. V13 supplies no project store to adopt."
command registry,packages/workspace/src/tool-state.ts,"ToolState, INITIAL_TOOL_STATE",implemented,"TWO command state machines exist: @arq/workspace ToolState (what apps/web runs) and @arq/command-system. V13 adds a third sketch (command-machine.ts).","Keep @arq/workspace. Do not adopt V13's command-machine.ts. Owner decision still open on @arq/command-system."
selection store,apps/web/src/App.tsx,modelSelection,partial,none,"Selection is host state shared by plan, tree and Inspector. 3D is not yet a selection source."
plan renderer,apps/web/src/PlanCanvas.tsx + packages/plan-renderer/src,"PlanCanvas, plan-scene.ts, room-label.ts",partial,none,"Extend. Openings, doors, windows and poche are the gap; V13's PlanRendererV13.tsx is a 1.5 KB sketch, not an adoptable renderer."
3D renderer,apps/web/src/ModelCanvas.tsx + packages/model-renderer/src,ModelCanvas,partial,none,"Extend. Opening-aware 3D depends on the same canonical openings this slice parses."
Inspector,packages/design-system/src/shell/inspector-groups.ts,"buildInspectorGroups, mergeInspectorFields",partial,none,"Extend. Contextual behaviour and a pin concept remain."
Navigator,packages/design-system/src/shell/model-panel.tsx,"ModelPanel, visibleModelTreeRows",partial,none,"Extend. V13 adds element counts (Walls 79, Doors 14, Windows 16, Rooms 34) the tree can derive once openings parse."
design tokens,packages/design-system/src/shell/shell-tokens.css,--arq-* custom properties,implemented,"V13 contracts/design-tokens-v13.json is a separate token list.","Reconcile into the existing tokens. Do not add a second token system. --arq-site-font binds to --arq-font-ui."
icon adapter,design/icons/svg + packages/icons,generated icon components,partial,"V13 offers @tabler/icons-react 3.45.0 as a candidate family.","Repository already has a house-style adapter and 8 hand-drawn group glyphs. Do not add Tabler; 24 of 54 tools still lack glyphs and are drawn in the existing style."
project open lifecycle,apps/web/src/project/open-native-project.ts + apps/web/src/file-handling,"openNativeProject, file-state-machine.ts",implemented,none,"Extend. Condition-aware open landed this session."
recovery and publication,packages/arqfs/src/arqfs-publication.ts + arqfs-recovery-report.ts,"publishProjectFile, buildArqfsRecoveryReport",partial,none,"Wired this session. Recovery comparison surface remains."
sheets and PDF,packages/pdf-export/src + packages/plan-renderer/src/sheet-viewport.ts,"pdf-sheet-export.ts, sheet-viewport.ts",not-started,none,"Libraries exist and are unwired - the same built-and-never-wired pattern. Largest untouched slice."
visual tests,scripts/run-*-capability-check.mjs,15 headless-Chromium checks,implemented,"V13 supplies scripts/capture_reference.py (Python Playwright).","Use the repository's existing Node capture harness; do not add a second one."
