id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
PR-502,test(UX): close #398 command reachability evidence,merged,"[""E04""]",,https://github.com/ruddvz/Arq/pull/502,Retain merged implementation/history; a merge does not certify the whole product.,explicit PR route,"Closes the remaining executable-evidence gap for #398 when exact-head checks are green.

## Scope

Audit/evidence only. No missing CAD tools, no command architecture rewrite, no `App.tsx` mutation.

- extends the existing real-production Chromium command-palette/dialog capability check to prove pointer Wall activation through the rendered tool rail;
- proves command-palette invocation of Wall reaches the live Plan tool;
- proves disabled Export DXF exposes `No project open yet`, is `aria-disabled`, and refuses keyboard/pointer invocation;
- adds a narrow Vitest execution guard for the existing workspace-registry validator so #398 has exact-head registry proof even when the separate lint job stops earlier at repository-wide format drift.

## Ownership

Base: `main` @ `4184551be3e75636d7feea93fda13699b00b4b43`.

PR #361 owns `apps/web/src/App.tsx`, PR #365 owns ZEUS/shared CI work, PR #496 owns #401 evidence, and PR #499 owns overlay-zone files. This PR does not touch those owned paths.

## Closure rule

Do not close #398 unless the focused browser capability and registry validator execute successfully on this PR/current integration line. Static inspection alone is not sufficient.",f7d0527edaa65a6e0763cb8f1b6a60568ea82641,4184551be3e75636d7feea93fda13699b00b4b43,codex/ux-0-2-398-reachability-evidence,main,,,2,"[""packages/workspace/src/registry-execution.test.ts"", ""scripts/run-design-system-dialog-capability-check.mjs""]",[]
PR-499,feat(UX): define canvas overlay zones and layer ownership,open,"[""E10""]",,https://github.com/ruddvz/Arq/pull/499,"Overlay contract pending. Preserve named-token/pointer work, fix gate failures and reconcile App palette exception with #361 owner.",explicit PR route,"Closes #412 when exact-head evidence is accepted.

## Scope

- define the documented canvas overlay-zone contract for top/bottom corners, center, selection and tool chrome;
- extend the canonical `shell-tokens.css` layer scale with workspace-overlay `95` and accessibility `98` between Context HUD `90` and modal backdrop `100`;
- pin the complete named layer order in the global layer guard;
- migrate `WorkspaceSheet` off raw z5;
- migrate tab and phone More menus off raw z6 to the canonical popover tier;
- move floating workspace panels/tablet drawers onto the workspace-overlay tier without changing panel behavior;
- preserve canvas pointer ownership with pointer-transparent zone hosts and opt-in interactive child bounds;
- add deterministic contract tests and stable overlay-role attributes for browser evidence.

## Exact integration base

`main` @ `4184551be3e75636d7feea93fda13699b00b4b43`.

Current branch is directly ahead of that head with no behind commits.

## Ownership boundary

PR #361 is still open and owns `apps/web/src/App.tsx`. This PR does not mutate `App.tsx`. The known transformed command-palette wrapper there remains an explicit external exception until #361 releases the host path.

No CAD hit testing, snapping, camera semantics, project persistence or broad shell redesign is changed.

## Canonical layer order

- raised shell: 10
- Context HUD / selection/tool chrome: 90
- workspace overlays: 95
- accessibility escape surface: 98
- modal backdrop: 100
- modal surface: 110
- popover: 120
- toast: 200

All named numeric values live in `packages/design-system/src/shell/shell-tokens.css`. Workspace CSS only consumes those names.

This makes a drawer/sheet occlude HUD chrome only where it physically covers the canvas, keeps the skip link above ordinary workspace overlays, and still leaves modal infrastructure authoritative.

## Pointer contract

`CanvasOverlayZone` hosts are always pointer-transparent. Real controls opt back in only at their bounds using `arq-canvas-overlay-control`. Full-canvas transparent hit surfaces are not introduced.

The existing wall Context HUD remains a conforming independent implementation: pointer-transparent HUD host, interactive numeric field, and browser evidence for wheel/canvas ownership.

## Evidence

`packages/design-system/src/workspace/overlay-zone-contract.test.ts` locks zone names, reserved future roles, layer ordering, pointer transparency, canonical token ownership and removal of raw sheet/menu z-index values. `packages/design-system/src/shell/layer-contract.test.ts` pins the complete global layer scale and rejects future raw escalation.

Repository-wide `format:check` has an existing seven-file documentation baseline. #412-owned files must not appear in that warning list. Final exact-head unit, Engineering Gate and Chromium evidence will be recorded on #412 before closure.",a6bb7a2cbc29798681f2c1d042961e5bd794c812,4184551be3e75636d7feea93fda13699b00b4b43,codex/412-overlay-zone-contract,main,,,10,"[""docs/product/ARQ-UI-UX-OVERLAY-ZONE-CONTRACT.md"", ""packages/design-system/src/shell/layer-contract.test.ts"", ""packages/design-system/src/shell/shell-tokens.css"", ""packages/design-system/src/workspace/canvas-overlay-zone.tsx"", ""packages/design-system/src/workspace/index.ts"", ""packages/design-system/src/workspace/overlay-zone-contract.css"", ""packages/design-system/src/workspace/overlay-zone-contract.test.ts"", ""packages/design-system/src/workspace/phone-project-bar.tsx"", ""packages/design-system/src/workspace/tab-context-menu.tsx"", ""packages/design-system/src/workspace/workspace-sheet.tsx""]","[""lint-and-typecheck""]"
PR-498,docs(test): finish exact-head token and layer audit,merged,"[""E04"", ""E10""]",,https://github.com/ruddvz/Arq/pull/498,Retain merged implementation/history; a merge does not certify the whole product.,explicit PR route,"Closes #403 when exact-head evidence is accepted.

## Scope

- refresh `docs/product/ARQ-UI-UX-TOKEN-LAYER-AUDIT.md` against current integration `main` @ `2d5a2ae73557049e0d5c2af01f6b0147942b1bcd`;
- add a narrowly scoped Vitest guard for shell/workspace layer drift;
- no broad restyle;
- no UX-1 overlay redesign;
- no `apps/web/src/App.tsx` mutation while #361 owns it.

## Exact-head movement handled

The audit initially inspected `14d333a225d6b606a8693f85246cacadb1c93ce3`. While the branch was being prepared, `main` advanced by one commit to `2d5a2ae73557049e0d5c2af01f6b0147942b1bcd`. That intervening commit changes only `docs/product/ARQ-UI-UX-WORKSPACE-OWNERSHIP-MAP.md`. No design-system, workspace implementation, shell token, modal/material, or `App.tsx` source changed. The branch was rebuilt directly on the new exact head.

## Exact-head corrections

- remove the stale prior finding that `tokens.css` still defines `--arq-z-modal: 400`; current `tokens.css` only imports the brand tokens;
- classify `WorkspaceSheet` raw layer 5, workspace menu raw layer 6 values, skip-link raw 20, legacy iPad layer 1 values, local refraction layer 1 and the `App.tsx` command-palette wrapper separately;
- record the command-palette transformed `zIndex: 10` wrapper as a #412 stacking-context risk without touching #361-owned `App.tsx`;
- record reduced-motion evidence and the refraction transition's non-canonical motion-token names for #486;
- route measured blur/shadow/compositing concerns to #402/#489.

## Guard boundary

The permanent test is intentionally narrow:

- pin the six canonical named global layer values in `shell-tokens.css`;
- scan only design-system `shell/**` and `workspace/**` for raw numeric `z-index`/`zIndex` declarations;
- reject raw values above 20 so ad hoc constants cannot enter the reserved named global layer range;
- permit the audited low local/debt range without freezing exact counts or locations;
- exclude renderer/geometry packages and `App.tsx`.

A raw value at or below 20 is not approval. The audit and #412 classifications remain authoritative.

## Evidence boundary

Focused `pnpm test` and the existing Chromium capability lane have already exercised the permanent guard and representative design-system dialog, workspace-layout, optical-glass and sheet-chrome paths on this #403 change set. The repository-wide `format:check` still reports seven unrelated pre-existing documentation files on `main`; the two #403 changed files are formatted to the repository's own Prettier contract. Because format precedes lint/typecheck/ZEUS drift in that job, those downstream steps are not claimed when baseline format debt stops the job.

The requested `node scripts/zeus.mjs compile --task ...` invocation cannot run in the connector-only execution environment and is recorded as blocked/not run. A synthetic all-overlays pointer/occlusion fixture remains #412 evidence rather than being invented here.",7e2e7e97fdcd6c762a31c6b4976a0fb6d4cad244,2d5a2ae73557049e0d5c2af01f6b0147942b1bcd,codex/403-token-layer-audit-current-head,main,,,2,"[""docs/product/ARQ-UI-UX-TOKEN-LAYER-AUDIT.md"", ""packages/design-system/src/shell/layer-contract.test.ts""]",[]
PR-497,docs(UX): verify #396 workspace ownership at exact head,merged,"[""E04""]",,https://github.com/ruddvz/Arq/pull/497,Retain merged implementation/history; a merge does not certify the whole product.,explicit PR route,"Closes the evidence gap for #396 without changing runtime UI.

What this does:
- re-anchors the workspace ownership map to `main` runtime head `14d333a225d6b606a8693f85246cacadb1c93ce3`;
- records the complete current open-PR ownership preflight and keeps PR #361 as the active `App.tsx` owner;
- links exact-head passing unit and real-Chromium capability evidence;
- maps desktop/tablet/phone, panel, viewport, overlay, no-project/project-open, read-only and recovery surfaces;
- corrects the stale claim that `WorkspaceSheet` restores previous focus;
- incorporates #403's current layer finding (`WorkspaceSheet` local `zIndex: 5`) without changing runtime styling;
- records exact safe UX-1 lanes and remaining serialisation around `App.tsx`.

No runtime code changes. No UX-1 implementation. No `App.tsx` mutation.",b8f12b1814ad69e8b27c6c33d83053cab41550a3,14d333a225d6b606a8693f85246cacadb1c93ce3,codex/ux-0-1-396-exact-head-evidence,main,,,1,"[""docs/product/ARQ-UI-UX-WORKSPACE-OWNERSHIP-MAP.md""]",[]
PR-496,test(UX): close #401 selection/focus authority evidence,open,"[""E04""]",,https://github.com/ruddvz/Arq/pull/496,"Selection/focus evidence only. Preserve current probe, resolve failing gates, and require post-merge proof for #401. No App.tsx mutation.",explicit PR route,"Related to #401. The issue will be closed only after post-merge exact-head evidence is green.

## Scope

Audit/evidence only. No selection redesign and no new state store.

- revalidates `docs/product/ARQ-UI-UX-SELECTION-FOCUS-AUTHORITY-MAP.md` against current `main`
- adds `scripts/run-selection-authority-capability-check.mjs` covering all eight #401 state-flow/browser scenarios
- adds an isolated Chromium workflow for the evidence probe, including post-merge `main` verification
- leaves `apps/web/src/App.tsx` untouched because PR #361 remains its active owner
- records `WorkspaceModeState.selection` as an already-divergent but dormant duplicate representation and routes architectural correction to #425

## Required evidence

The probe must prove Plan/tree/3D/inspector projection, view-switch continuity, delete self-healing, primary/secondary multi-selection, level-switch clearing, DOM-focus independence, and the current Escape-versus-clear ordering.

Do not merge on a red focused probe. Any runtime contradiction belongs in the audit/issue and, where architectural, in #425 rather than being hidden by a selection redesign here.",8703a611c1615791c58ddbdf7920d2c2b5f9876c,14d333a225d6b606a8693f85246cacadb1c93ce3,codex/arq-401-selection-authority-evidence,main,,,4,"["".github/workflows/selection-authority-evidence.yml"", ""docs/product/ARQ-UI-UX-SELECTION-FOCUS-AUTHORITY-MAP.md"", ""scripts/run-selection-authority-capability-check.mjs"", ""scripts/selection-authority-state-flow.test.mjs""]","[""lint-and-typecheck"", ""selected-evidence"", ""engineering-gate""]"
PR-495,feat(marketing): introduce editorial public-site foundation and PUB-001 proof slice,open,"[""E27""]",,https://github.com/ruddvz/Arq/pull/495,Draft PUB-001 proof slice targets legacy default. Reconcile target and overlapping routing docs; require screenshot/zoom and preview-route evidence.,explicit PR route,"Closes the first implementation checkpoint of #494 when the required evidence is green.

## What changed

- added an additive editorial composition layer for the public site;
- added typed editorial primitives for large display fields, technical rails, critical state pairs and route transitions;
- recomposed PUB-001 around the existing governed product truth instead of adding new claims;
- kept `.arq opens` adjacent to `does not save back` as a first-class visual state pair;
- widened the public shell while leaving the existing static/reference baseline intact;
- copied `design/tokens/brand.v4.css` directly into the generated site and bridged marketing accent use to canonical brand tokens;
- removed the stale hard-coded `2026-08` revision month from the footer;
- preserved the no-client-JS and no-third-party-resource architecture.

## Authority and ownership

- integration authority resolved through #332;
- branch created from exact integration head `df04288c182bdfcee91f92e70b0e5d0017fc0628`;
- implementation branch: `codex/arq-public-site-editorial-v1`;
- owned slice recorded in #494.

## Deliberate limits

- no merge requested yet;
- no claim that the page is visually approved until screenshot/human review exists;
- no fake product screenshot was added. The hero uses an explicitly decorative abstract semantic-plan graphic;
- no PUB-002+ rollout in this PR yet;
- the separate anti-slop file mentioned by the owner has not been supplied, so no assumptions from it are encoded.

## Evidence needed

CI must establish build/type/test/language/claim invariants on this exact head. Visual and 200% zoom evidence still requires a browser-capable execution pass before this is ready to merge.

Related: #205, #332, #369, #377, #494",2d82ca4c3c8e67755828e6ae117ac13ad101f610,df04288c182bdfcee91f92e70b0e5d0017fc0628,codex/arq-public-site-editorial-v1,claude/arq-cad-platform-research-ba8rav,,,12,"[""apps/marketing/README.md"", ""apps/marketing/src/build.ts"", ""apps/marketing/src/content/home.ts"", ""apps/marketing/src/editorial-components.ts"", ""apps/marketing/src/editorial.css"", ""apps/marketing/src/layout.ts"", ""docs/product/ARQ-UI-UX-ISSUE-EXECUTION-INDEX.md"", ""docs/product/ARQ-UI-UX-MASTER-EXECUTION-PLAN-v1.0.md"", ""docs/product/voice/context/REFRESH-LOG.json"", ""docs/product/voice/generated-repo-context.json"", ""engineering/ops/generated/engineering-context-v5.json"", ""scripts/run-marketing-viewport-capability-check.mjs""]","[""verify-routes""]"
PR-366,docs(research): preserve Archaiflow patterns for future ARQ work,open,"[""E01""]",,https://github.com/ruddvz/Arq/pull/366,Research-only candidate; adopt observations through provenance and current API/licence checks.,explicit PR route,"## Purpose

Preserve the 2026-09-12 Archaiflow research pass as an advisory ARQ reference that future agents can re-check when a related capability is needed.

## What this adds

- `docs/research/ARCHAIFLOW-REFERENCE-2026-09.md`
- reusable observations around reviewable proposals, source-grounded project search, deterministic Explain Why, documentation/export preflight, solver contracts, rule graphs, specialist capabilities, geometry-constrained derived rendering, and separate firm-memory evidence
- explicit `do not copy blindly` section
- revalidation checklist requiring future agents to revisit the external source, current ARQ `main`, ADRs, issues, PRs, ownership, and licence constraints before implementation
- no product commitment, architecture change, backlog commitment, runtime code, dependency, or release-scope change

## Authority boundary

This is research only. Accepted ADRs, the active ARQ blueprint, current implementation evidence, validation gates, and repository ownership rules remain authoritative.

## Coordination

The branch is based on `main` and only adds one new research document. It does not mutate current product/runtime files or overlap the active ARQFS, browser-validation, or ZEUS graph implementation lanes.",408b08914aa28df6dd69a42b723926a5a1e164f8,5f965f7678a09e1fbd9a81d51778236fce682736,research/archaiflow-reference-2026-09,main,,,2,"[""docs/research/ARCHAIFLOW-REFERENCE-2026-09.md"", ""docs/research/COMPETITOR-WORKFLOW-AUDIT.md""]",[]
PR-365,feat(zeus): add cross-language impact extraction,open,"[""E00""]",,https://github.com/ruddvz/Arq/pull/365,Repair format/selected-evidence/engineering failures on refreshed base; keep repository graph work separate from authoring.,explicit PR route,"Closes #325

## What changed

- extend the existing ZEUS repository graph with deterministic Rust module relationships
- recognise checked-in wasm-bindgen crate surfaces without inventing generated bindings that are not in the repository
- propagate deterministic package entrypoint dependencies so bounded impact traversal can cross Rust -> WASM/package surface -> TypeScript consumers
- resolve unique TypeScript `paths` aliases and barrel/re-export chains
- record ambiguous alias targets as explicit uncertainty metadata instead of hard dependency edges
- keep the existing graph schema, cache, freshness fingerprint, traversal budgets and repository-evidence consumer as the single authority
- route `zeus graph` and repository evidence through the augmented extractor
- bump the extractor version to invalidate stale graph snapshots

## Focused regression coverage

- synthetic Rust -> wasm-bindgen -> TypeScript -> app impact propagation
- TypeScript path alias + barrel re-export propagation
- ambiguous alias targets remain non-authoritative
- representative 32-package / 12-module-per-package graph build and impact-query performance fixture with bounded traversal assertions

## Evidence boundary

The current repository contains `rust/arq-core` wasm-bindgen exports but no checked-in TypeScript consumer of that crate and no current tsconfig path aliases. The production graph therefore only records relationships that exist in current source. Cross-language consumer and alias behaviour is proven with isolated repository fixtures rather than hypothetical production edges.

## Coordination

Branch is based on current `main` (`5f965f7`) and is 0 commits behind at PR creation. The diff is limited to ZEUS graph/runtime/CI files. It does not overlap the active #355/#356 ARQFS lane, #358 browser-matrix lane, or #219 platform documentation lane.

## Validation

- local syntax checks for the new extractor/helper/test files: pass
- branch/main comparison: 10 commits ahead, 0 behind
- full focused regression, graph freshness, drift and repository CI evidence: pending this PR's exact-head workflows",d292ace3cf7dc45cdff6dedca1af477772512953,5f965f7678a09e1fbd9a81d51778236fce682736,fix/issue-325-zeus-cross-language-impact,main,,,9,"["".github/workflows/zeus-repository-intelligence.yml"", "".zeus/repository-graph.json"", ""scripts/lib/zeus-repository-evidence.mjs"", ""scripts/lib/zeus-rust-graph.mjs"", ""scripts/lib/zeus-ts-alias-graph.mjs"", ""scripts/zeus-repository-cross-language-performance.test.mjs"", ""scripts/zeus-repository-cross-language.mjs"", ""scripts/zeus-repository-cross-language.test.mjs"", ""scripts/zeus.mjs""]","[""lint-and-typecheck"", ""selected-evidence"", ""engineering-gate"", ""Vercel""]"
PR-363,test(platform): add cross-engine browser matrix smoke,open,"[""E22""]",,https://github.com/ruddvz/Arq/pull/363,Preserve successful engine smokes; resolve deployment provenance separately; engine tests do not certify hardware.,explicit PR route,"Closes #358

## What changed

- adds `scripts/run-browser-matrix-smoke.mjs` for Chromium, Firefox and WebKit engine evidence
- builds and serves the real `apps/web` production bundle before every smoke run
- checks workspace boot, measurable viewport, keyboard focus and horizontal overflow
- reports runtime WebGPU presence plus WebGL/WebGL2 fallback availability without inferring support from version strings
- records exact browser version, user agent, capability result and failures as JSON evidence
- adds a PR CI matrix that installs and runs all three Playwright engines independently
- documents the evidence boundary in `validation/BROWSER-ENGINE-SMOKE.md`

## Evidence boundary

Playwright WebKit is engine-level evidence only. It is not shipping Safari, physical iPad, Apple Pencil, VoiceOver or physical-GPU certification. Real Apple-hardware validation remains #359. Firefox per-OS support policy remains #360. The product support source remains `validation/BROWSER-AND-DEVICE-MATRIX.csv` under #219.

## Validation

The PR workflow runs each engine independently and uploads its JSON report. Existing repository checks remain authoritative for lint, typecheck, tests and policy controls.",3c16942f72a5da8234973e45fe794ef6eec158bd,5f965f7678a09e1fbd9a81d51778236fce682736,codex/browser-matrix-smoke-358,main,,,3,"["".github/workflows/browser-matrix-smoke.yml"", ""scripts/run-browser-matrix-smoke.mjs"", ""validation/BROWSER-ENGINE-SMOKE.md""]","[""Vercel""]"
PR-362,docs(platform): complete browser and device validation matrix,open,"[""E22""]",,https://github.com/ruddvz/Arq/pull/362,Review platform evidence and merge with scope limits; physical Safari/iPad remains #359 and Firefox policy #360.,explicit PR route,"## Summary

Completes the research/validation deliverable for #219 without changing runtime behaviour or widening ARQ's platform promises.

### Matrix corrections

- refreshes Safari evidence from the stale 26.5/May 2026 wording to Safari 26.6 as the stable evidence point used in this pass
- replaces the broad Apple Pencil `M-series or A15+` wording with Apple's exact documented hover-capable model/Pencil combinations
- corrects Firefox WebGPU support by OS: Windows stable from Firefox 141, Apple Silicon macOS from Firefox 147, with Linux/Intel macOS still non-default/experimental in current Mozilla evidence
- removes the unsupported `Android targeted late 2026` Firefox claim
- updates Chrome's Linux WebGPU history using the later Chrome WebGPU release record
- preserves the existing iPhone viewer/review-only scope and the existing required/decision-required statuses

### Evidence and decision record

Adds `validation/BROWSER-AND-DEVICE-MATRIX-EVIDENCE.md` with:

- primary vendor sources for every capability row
- explicit evidence-state boundaries between vendor capability, browser-engine tests and physical-device release evidence
- a bounded decision register for capability detection, platform-scope preservation, Firefox OS-specific support and physical Safari/iPad validation
- security, accessibility, performance and licence effects
- the contradictions corrected by this pass

### Follow-up issues

- #358 — automated Chromium/WebKit/Firefox browser-matrix smoke coverage
- #359 — physical Safari/macOS + Safari/iPadOS input, accessibility and performance validation
- #360 — explicit Firefox desktop support envelope per OS/fallback path

## Validation

- branch is based on current `main` and is 0 commits behind at PR creation
- diff is limited to the browser/device matrix and its evidence record
- CSV parses as seven columns for the header and every data row
- no dependency, runtime, renderer, deployment or product-scope mutation
- no physical iPad/Safari result is claimed; that evidence remains explicitly unverified and is routed to #359

Closes #219",ec738d57a27196ae22dd852ec2ffcb8e8f78d5dd,5f965f7678a09e1fbd9a81d51778236fce682736,codex/browser-device-matrix-219,main,,,2,"[""validation/BROWSER-AND-DEVICE-MATRIX-EVIDENCE.md"", ""validation/BROWSER-AND-DEVICE-MATRIX.csv""]","[""Vercel""]"
