id,group,feature,stage,status,dependency,quality_gate,claim_rule
FEAT-001,Project and files,Create project,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-002,Project and files,Open project,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-003,Project and files,Recent projects,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-004,Project and files,Duplicate project,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-005,Project and files,Archive project,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-006,Project and files,Restore project,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-007,Project and files,Clean .arq export,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-008,Project and files,Linked external .arq document,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-009,Project and files,Project templates,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-010,Project and files,Safe mode,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-011,Project and files,Recovery centre,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-012,Project and files,Project diagnostics,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-013,Project and files,Project comparison,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-014,Project and files,Project branching,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-015,Project and files,Project merge,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-016,Units and coordinates,Metric units,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-017,Units and coordinates,Imperial units,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-018,Units and coordinates,Display precision,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-019,Units and coordinates,Internal canonical units,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-020,Units and coordinates,Project origin,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-021,Units and coordinates,North direction,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-022,Units and coordinates,Shared coordinates,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-023,Units and coordinates,Survey point,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-024,Units and coordinates,Georeferencing,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-025,Units and coordinates,True north and project north,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-026,2D drafting,Line,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-027,2D drafting,Polyline,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-028,2D drafting,Rectangle,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-029,2D drafting,Polygon,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-030,2D drafting,Circle,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-031,2D drafting,Arc,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-032,2D drafting,Ellipse,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-033,2D drafting,Spline,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-034,2D drafting,Construction line,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-035,2D drafting,Detail line,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-036,2D drafting,Region,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-037,2D drafting,Hatch and fill,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-038,2D drafting,Offset,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-039,2D drafting,Trim,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-040,2D drafting,Extend,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-041,2D drafting,Split,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-042,2D drafting,Join,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-043,2D drafting,Fillet,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-044,2D drafting,Chamfer,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-045,2D drafting,Move,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-046,2D drafting,Copy,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-047,2D drafting,Rotate,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-048,2D drafting,Mirror,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-049,2D drafting,Scale imported linework,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-050,2D drafting,Rectangular array,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-051,2D drafting,Polar array,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-052,2D drafting,Align,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-053,2D drafting,Distribute,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-054,2D drafting,Constraints,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-055,2D drafting,Selection filters,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-056,2D drafting,Layers for imported content,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-057,2D drafting,Line styles,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-058,2D drafting,Line weights,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-059,Architectural model,Levels,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-060,Architectural model,Grids,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-061,Architectural model,Straight walls,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-062,Architectural model,Wall types,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-063,Architectural model,Wall joins,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-064,Architectural model,Wall profile edit,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-065,Architectural model,Curved walls,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-066,Architectural model,Stacked walls,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-067,Architectural model,Curtain walls,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-068,Architectural model,Doors,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-069,Architectural model,Windows,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-070,Architectural model,Generic openings,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-071,Architectural model,Hosted components,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-072,Architectural model,Rooms,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-073,Architectural model,Areas,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-074,Architectural model,Room separation lines,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-075,Architectural model,Slabs and floors,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-076,Architectural model,Ceilings,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-077,Architectural model,Columns,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
