id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
ARQ-001,docs: add complete blueprint v1.0,historical requirement; revalidate,"[""E00""]",backlog/issues/001-docs-add-complete-blueprint-v1-0.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/001-docs-add-complete-blueprint-v1-0.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# docs: add complete blueprint v1.0

**Issue ID:** ARQ-001
**Phase:** Phase 0
**Epic:** Documentation
**Priority:** critical
**Suggested labels:** type: feature, area: docs, priority: critical, state: ready
**Dependencies:** None

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Add complete blueprint v1.0.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
ARQ-002,docs: add ADR template,historical requirement; revalidate,"[""E00""]",backlog/issues/002-docs-add-adr-template.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/002-docs-add-adr-template.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# docs: add ADR template

**Issue ID:** ARQ-002
**Phase:** Phase 0
**Epic:** Documentation
**Priority:** critical
**Suggested labels:** type: feature, area: docs, priority: critical, state: ready
**Dependencies:** ARQ-001

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Add adr template.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
ARQ-003,docs: add dependency and licence policy,historical requirement; revalidate,"[""E00""]",backlog/issues/003-docs-add-dependency-and-licence-policy.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/003-docs-add-dependency-and-licence-policy.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# docs: add dependency and licence policy

**Issue ID:** ARQ-003
**Phase:** Phase 0
**Epic:** Documentation
**Priority:** critical
**Suggested labels:** type: feature, area: docs, priority: critical, state: ready
**Dependencies:** ARQ-002

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Add dependency and licence policy.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
ARQ-004,research: create architect interview guide,historical requirement; revalidate,"[""E01""]",backlog/issues/004-research-create-architect-interview-guide.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/004-research-create-architect-interview-guide.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# research: create architect interview guide

**Issue ID:** ARQ-004
**Phase:** Phase 0
**Epic:** Research
**Priority:** critical
**Suggested labels:** type: research, area: research, priority: critical, state: ready
**Dependencies:** ARQ-003

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Create architect interview guide.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
ARQ-005,research: create workflow synthesis template,historical requirement; revalidate,"[""E01""]",backlog/issues/005-research-create-workflow-synthesis-template.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/005-research-create-workflow-synthesis-template.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# research: create workflow synthesis template

**Issue ID:** ARQ-005
**Phase:** Phase 0
**Epic:** Research
**Priority:** critical
**Suggested labels:** type: research, area: research, priority: critical, state: ready
**Dependencies:** ARQ-004

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Create workflow synthesis template.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
ARQ-006,research: conduct first six architect interviews,historical requirement; revalidate,"[""E01""]",backlog/issues/006-research-conduct-first-six-architect-interviews.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/006-research-conduct-first-six-architect-interviews.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# research: conduct first six architect interviews

**Issue ID:** ARQ-006
**Phase:** Phase 0
**Epic:** Research
**Priority:** critical
**Suggested labels:** type: research, area: research, priority: critical, state: ready
**Dependencies:** ARQ-005

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Conduct first six architect interviews.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
ARQ-007,research: conduct second six architect interviews,historical requirement; revalidate,"[""E01""]",backlog/issues/007-research-conduct-second-six-architect-interviews.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/007-research-conduct-second-six-architect-interviews.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# research: conduct second six architect interviews

**Issue ID:** ARQ-007
**Phase:** Phase 0
**Epic:** Research
**Priority:** critical
**Suggested labels:** type: research, area: research, priority: critical, state: ready
**Dependencies:** ARQ-006

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Conduct second six architect interviews.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
ARQ-008,research: map competitor residential plan workflow,historical requirement; revalidate,"[""E01""]",backlog/issues/008-research-map-competitor-residential-plan-workflow.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/008-research-map-competitor-residential-plan-workflow.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# research: map competitor residential plan workflow

**Issue ID:** ARQ-008
**Phase:** Phase 0
**Epic:** Research
**Priority:** critical
**Suggested labels:** type: research, area: research, priority: critical, state: ready
**Dependencies:** ARQ-007

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Map competitor residential plan workflow.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
ARQ-009,research: document browser and iPad support matrix,historical requirement; revalidate,"[""E22""]",backlog/issues/009-research-document-browser-and-ipad-support-matrix.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/009-research-document-browser-and-ipad-support-matrix.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# research: document browser and iPad support matrix

**Issue ID:** ARQ-009
**Phase:** Phase 0
**Epic:** Research
**Priority:** critical
**Suggested labels:** type: research, area: research, priority: critical, state: ready
**Dependencies:** ARQ-008

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Document browser and ipad support matrix.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
ARQ-010,legal: complete Arq working-name clearance,historical requirement; revalidate,"[""E26""]",backlog/issues/010-legal-complete-arq-working-name-clearance.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/backlog/issues/010-legal-complete-arq-working-name-clearance.md,Reuse existing implementation and linked issues; preserve original dependencies and acceptance; do not reopen simply because this plan lists it.,explicit historic work-family allocation,"# legal: complete Arq working-name clearance

**Issue ID:** ARQ-010
**Phase:** Phase 0
**Epic:** Legal and governance
**Priority:** critical
**Suggested labels:** type: feature, area: legal, priority: critical, state: ready
**Dependencies:** ARQ-009

## Problem

Complete this task as part of the ordered Arq implementation plan. The implementation
must follow the complete blueprint and approved ADRs.

## Scope

Complete arq working-name clearance.

## Non-goals

- Do not expand into later release scope.
- Do not introduce unreviewed dependencies.
- Do not couple project semantics to renderer or external-format classes.

## Acceptance criteria

- [ ] The scope and non-goals are documented.
- [ ] The result is reviewed against the complete blueprint.
- [ ] Tests or evidence appropriate to the task are included.
- [ ] New dependencies and licence effects are recorded.

## Evidence

Attach tests, screenshots, recordings, benchmark output or research notes as relevant.

## Documentation

Update the appropriate package specification and ADR if the task changes a decision.
",,,,,,,,,
