id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
S01,Baseline and capability map,September 5 plan; reconciled allocation,"[""E00"", ""E01"", ""E02""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Preserve both dirty trees, inventory intended changes, compare older persistence work, establish the integration revision. Map each Release 1 feature to UI entry, implementation, test, state and owner. Reconcile stale status/README claims. No blind branch replacement.",,,,,,,,,
S02,Honest commands,September 5 plan; reconciled allocation,"[""E04""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,Remove demo-note fallbacks from production actions. Unimplemented Share/Account/commands are hidden or disabled with useful reasons. Clicking unavailable UI creates no journal entry or undo item. Audit every invocation surface against one command registry.,,,,,,,,,
S03,Lossless project model,September 5 plan; reconciled allocation,"[""E05""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,Define one canonical project schema and supported versions. Preserve reference-model levels/types/rooms/openings/views and unknown data according to explicit compatibility rules. Unsupported editing is read-only. A rich fixture survives encode/decode/edit with only intended semantic differences.,,,,,,,,,
S04,Atomic durable edits,September 5 plan; reconciled allocation,"[""E05"", ""E06""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Route typed authoring operations through one serialized transaction/revision path. Commit model, inverse/history and durable metadata coherently. Inject failures between write stages: no partial state or false success; subsequent valid edits still succeed. Review ARQFS batch atomicity before connecting UI.",,,,,,,,,
S05,Durable history and switching,September 5 plan; reconciled allocation,"[""E06""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Undo/redo use S04; history is project-scoped, grouped deliberately, and unchanged on failed commit. Prove rapid edits, late Worker replies, close-during-save and A→B→A switching cannot lose or cross-write work.",,,,,,,,,
S06,One portable-file pipeline,September 5 plan; reconciled allocation,"[""E06""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Reconcile Publish and Save a copy behind one queued snapshot/export/fresh-reopen service. Check project identity, revision and semantic equality; preserve original bytes. Distinguish verification, file delivery and cancel/failure. Saved/exported status never advances on a failed download.",,,,,,,,,
S07,New/open/recent lifecycle,September 5 plan; reconciled allocation,"[""E08""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Make New project a real native working project; support naming, units, level setup, sample, recent projects and close. Renames persist. Invalid/unsupported files show actionable refusal; concurrent opens cannot adopt the wrong project.",,,,,,,,,
S08,Storage and recovery UX,September 5 plan; reconciled allocation,"[""E07"", ""E08""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Distinguish unsaved changes, committed local working copy, portable copy and future cloud state. Provide recovery discovery, quota/storage persistence handling, backup reminder and export escape path. Test crash, eviction/cleared storage, denied persistence, full disk and interrupted migration. Never describe browser storage as an independent backup.",,,,,,,,,
S09,Navigation and shell,September 5 plan; reconciled allocation,"[""E04"", ""E10""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Separate Views, Model and Sheets content; unify selected object, active level, view state and breadcrumbs. Verify fit/zoom/selection across tabs. Empty, loading, read-only and degraded states have one obvious next action.",,,,,,,,,
S10,Visual system consistency,September 5 plan; reconciled allocation,"[""E10""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Apply existing tokens to canvas chrome, palette portals, search, dialogs, menus and tooltips. Fix typography divergence, focus/selected/disabled hierarchy and density. Capture light/dark, DPR and 200% zoom comparisons without masking regressions by resetting baselines.",,,,,,,,,
S11,Responsive and input ergonomics,September 5 plan; reconciled allocation,"[""E22""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Validate desktop, compact/large tablet, portrait/landscape and phone scopes. Handle touch targets, pen versus pan, palm interference, pointer cancellation/capture, keyboard appearing, safe areas and overlays. No status or dialog hides essential controls. Real iPad testing is a release gate for iPad claims.",,,,,,,,,
S12,Accessible editing,September 5 plan; reconciled allocation,"[""E21""]",prior local docs/product/ARQ-PRODUCTION-PLAN.md,,Expanded by listed E-phase contracts. Previous test/implementation claims stay attached to their original revisions.,explicit S01-S44 crosswalk,"Keyboard-accessible commands and non-drag alternatives; meaningful element tree and inspector; focus restoration; restrained live announcements; contrast, non-color states, reduced motion and zoom. Screen reader users can select, inspect, edit a property, undo and export through semantic UI.",,,,,,,,,
