id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
COMPONENT:CMP-001-button,CMP-001: Button,specified; runtime coverage not certified,"[""E02""]",docs/components/CMP-001-button.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-001-button.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-002-icon-button,CMP-002: Icon button,specified; runtime coverage not certified,"[""E02""]",docs/components/CMP-002-icon-button.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-002-icon-button.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-003-split-button,CMP-003: Split button,specified; runtime coverage not certified,"[""E02""]",docs/components/CMP-003-split-button.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-003-split-button.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-004-top-application-bar,CMP-004: Top application bar,specified; runtime coverage not certified,"[""E02""]",docs/components/CMP-004-top-application-bar.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-004-top-application-bar.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-005-tool-rail,CMP-005: Tool rail,specified; runtime coverage not certified,"[""E04""]",docs/components/CMP-005-tool-rail.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-005-tool-rail.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-006-context-bar,CMP-006: Context bar,specified; runtime coverage not certified,"[""E10""]",docs/components/CMP-006-context-bar.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-006-context-bar.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-007-status-bar,CMP-007: Status bar,specified; runtime coverage not certified,"[""E10""]",docs/components/CMP-007-status-bar.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-007-status-bar.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-008-model-tree,CMP-008: Model tree,specified; runtime coverage not certified,"[""E02""]",docs/components/CMP-008-model-tree.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-008-model-tree.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-009-inspector,CMP-009: Inspector,specified; runtime coverage not certified,"[""E19""]",docs/components/CMP-009-inspector.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-009-inspector.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-010-property-row,CMP-010: Property row,specified; runtime coverage not certified,"[""E02""]",docs/components/CMP-010-property-row.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-010-property-row.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-011-text-field,CMP-011: Text field,specified; runtime coverage not certified,"[""E02""]",docs/components/CMP-011-text-field.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-011-text-field.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-012-numeric-field,CMP-012: Numeric field,specified; runtime coverage not certified,"[""E03""]",docs/components/CMP-012-numeric-field.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-012-numeric-field.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
COMPONENT:CMP-013-search-field,CMP-013: Search field,specified; runtime coverage not certified,"[""E02""]",docs/components/CMP-013-search-field.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/components/CMP-013-search-field.md,Retain all relevant empty/loading/error/permission/recovery/input states; stage applicability and executable proof decide release inclusion.,proposed surface-family route,,,,,,,,,,
