System or format,Primary role,Strengths,Limits,ARQ lesson
DWG/DXF,Drawing database and exchange,"Handles, blocks, layers, layouts, annotations, compatibility","Proprietary complexity, feature semantics and roundtrip vary","Object identity, drawing semantics, edition-aware fidelity"
Revit/RVT,BIM authoring,"Semantic elements, types, views, sheets, transactions, links, worksharing","Proprietary file, upgrade and collaboration complexity","Separate identity classes, copy-on-write migration, explicit links"
IFC 4.3/IDS,Open BIM exchange,"Open semantics, infrastructure, MVD and requirement profiles",Exchange subset and implementation quality vary,"Named profile, IDS validation, object-level mapping evidence"
STEP AP242,Product-data exchange,"Exact geometry, assemblies, PMI, validation properties",Neutral geometry does not preserve every native feature tree,Exact-reference classification and validation properties
Parasolid XT,Kernel geometry,High-fidelity exact kernel representation,"Proprietary, version and licence coupling","Optional kernel payload, never sole semantic truth"
JT,Large product visualisation,"Product structure, LOD, tessellation, optional exact geometry",Proprietary profile and tooling complexity,Multi-LOD derived artifacts tied to exact revisions
Onshape,Cloud CAD history,"Versions, workspaces, branches, merge and collaboration",Cloud service authority and proprietary internals,Immutable revisions plus optional collaboration
Rhino 3DM,Surface and freeform authoring,"NURBS, extensibility, inspectable ecosystem",Feature semantics depend on plugins and workflow,Surface styling domain with explicit plugin capability
SketchUp SKP,Accessible concept modelling,Simple direct modelling and component workflow,Precision and semantics can be shallow or plugin-dependent,Low-friction concept mode that promotes typed precision
OpenUSD,Scene composition,"Layers, references, payloads, variants, selective loading",Not a precision feature-history standard,Federation and composition patterns
glTF,Runtime visual delivery,"Efficient meshes, materials, animation delivery",Not canonical engineering semantics,Derived visual export with source-revision evidence
CityGML,City semantics,Semantic city objects and thematic modules,Authoring and streaming are separate concerns,Urban domain mapping and semantic LOD
3D Tiles,Massive spatial streaming,"Hierarchy, bounding volumes, refinement, LOD",Not editable canonical project state,Streaming index linked to federated sources
SQLite,Application file container,"Transactions, single-file publication, integrity, tools","Sidecars, locking, hostile-input limits require care",Working-publication separation and bounded readers
ARQ candidate,Governed precision project,"Semantic operations, exact quantities, evidence, AI review, federation",Unimplemented and unverified in production,Prove narrow core before breadth
