id,name,viewBox,strokeWidth,states,status,accessibilityNameRequired
icon-01,select,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-02,window-select,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-03,crossing-select,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-04,wall,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-05,door,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-06,window,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-07,room,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-08,level,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-09,grid,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-10,dimension,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-11,text-note,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-12,move,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-13,rotate,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-14,copy,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-15,mirror,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-16,offset,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-17,trim,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-18,extend,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-19,split,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-20,align,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-21,join,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-22,plan,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-23,model-3d,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-24,orthographic,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-25,perspective,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-26,pan,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-27,orbit,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-28,fit,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-29,section,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-30,elevation,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-31,sheet,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-32,inspect,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-33,relationships,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-34,warning,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-35,model-health,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-36,revision,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-37,history,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-38,comment,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-39,export,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
icon-40,arq-archive,0 0 24 24,1.75,"['default', 'hover', 'active', 'disabled', 'selected']",drafted,True
