id,area,scenario,expectedSafeBehaviour,fixtureRequired
EDGE-001,Selection,Hidden object receives pointer hit,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-002,Selection,Inspector displays a different element than the canvas highlight,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-003,Selection,Candidate cycling order changes without pointer movement,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-004,Selection,Selection is lost while editing a property,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-005,Snapping,Snap jitters between equal candidates,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-006,Snapping,Snap uses stale derived geometry,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-007,Snapping,Snap tolerance changes incorrectly with zoom,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-008,Snapping,Perpendicular snap appears on an invalid extension,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-009,Numeric input,Rounded display value is stored as authoritative,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-010,Numeric input,Imperial fraction parses incorrectly,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-011,Numeric input,Locale comma is interpreted as coordinate separator,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-012,Numeric input,Negative length commits where prohibited,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-013,Walls and joins,Reversing endpoints flips interior and exterior unexpectedly,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-014,Walls and joins,Mitre join creates a sliver,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-015,Walls and joins,T junction disconnects after reopen,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-016,Walls and joins,Collinear walls overlap instead of merge warning,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-017,Openings,Door extends beyond host,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-018,Openings,Overlapping openings commit,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-019,Openings,Door moves to wrong wall end after endpoint reversal,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
EDGE-020,Openings,Window sill exceeds wall height,No silent project mutation or data loss. Explain the state and provide a safe next action.,yes
