id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
BUG-RISK-001,Hidden object receives pointer hit,"anticipated risk, not confirmed defect","[""E04""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-001
category: Selection
title: Hidden object receives pointer hit
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Hidden object receives pointer hit.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
BUG-RISK-002,Inspector displays a different element than the canvas highlight,"anticipated risk, not confirmed defect","[""E04""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-002
category: Selection
title: Inspector displays a different element than the canvas highlight
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Inspector displays a different element than the canvas highlight.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
BUG-RISK-003,Candidate cycling order changes without pointer movement,"anticipated risk, not confirmed defect","[""E04""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-003
category: Selection
title: Candidate cycling order changes without pointer movement
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Candidate cycling order changes without pointer movement.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
BUG-RISK-004,Selection is lost while editing a property,"anticipated risk, not confirmed defect","[""E04""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-004
category: Selection
title: Selection is lost while editing a property
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Selection is lost while editing a property.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
BUG-RISK-005,Deleted object remains selected,"anticipated risk, not confirmed defect","[""E04""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-005
category: Selection
title: Deleted object remains selected
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Deleted object remains selected.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
BUG-RISK-006,Tiny object cannot be selected at normal zoom,"anticipated risk, not confirmed defect","[""E04""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-006
category: Selection
title: Tiny object cannot be selected at normal zoom
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Tiny object cannot be selected at normal zoom.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
BUG-RISK-007,Window selection includes an object outside the boundary,"anticipated risk, not confirmed defect","[""E04""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-007
category: Selection
title: Window selection includes an object outside the boundary
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Window selection includes an object outside the boundary.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
BUG-RISK-008,Crossing selection behaves like window selection,"anticipated risk, not confirmed defect","[""E04""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-008
category: Selection
title: Crossing selection behaves like window selection
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Crossing selection behaves like window selection.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
BUG-RISK-009,Snap jitters between equal candidates,"anticipated risk, not confirmed defect","[""E11""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-009
category: Snapping
title: Snap jitters between equal candidates
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Snap jitters between equal candidates.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
BUG-RISK-010,Snap uses stale derived geometry,"anticipated risk, not confirmed defect","[""E11""]",quality/ANTICIPATED-BUG-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/ANTICIPATED-BUG-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: BUG-RISK-010
category: Snapping
title: Snap uses stale derived geometry
classification: anticipated risk, not confirmed defect
severity: high
prevention: Enforce the relevant architecture contract, safe failure and explicit validation.
test: Create a deterministic regression test for: Snap uses stale derived geometry.
releaseGate: Blocks M1 Editor kernel - must be resolved or explicitly deferred with a written exception before that milestone ships.",,,,,,,,,
