id,category,name,stage,operation,shortcut,inputs,invalid_examples,preview,undo,ipad,accessibility,performance_budget
CMD-001,General,Select,R1,Select,V,pointer or tree item,locked or hidden target,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-002,General,Window select,R1,Select,,drag rectangle,invalid canvas start,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-003,General,Crossing select,R1,Select,,reverse drag rectangle,invalid canvas start,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-004,General,Cycle candidates,R1,Select,Tab,overlapping candidates,no candidate,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-005,General,Deselect,R1,Select,Escape,current selection,none,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-006,General,Command palette,R1,OpenPanel,Cmd/Ctrl K,query,none,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-007,General,Undo,R1,Undo,Cmd/Ctrl Z,eligible local operation,operation no longer invertible,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-008,General,Redo,R1,Redo,Cmd/Ctrl Shift Z,eligible undone operation,branch changed,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-009,General,Cancel command,R1,Cancel,Escape,active command,none,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-010,General,Confirm command,R1,Commit,Enter,valid preview,blocking validation,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-011,General,Repeat last command,R2,OpenCommand,,last repeatable command,command not repeatable,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-012,Navigation,Pan,R1,ChangeView,Space,pointer delta,none,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-013,Navigation,Zoom,R1,ChangeView,,wheel or pinch,none,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-014,Navigation,Fit project,R1,ChangeView,Shift F,visible project bounds,empty project,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-015,Navigation,Fit selection,R1,ChangeView,F,selection bounds,empty selection,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-016,Navigation,Orbit,R1,ChangeView,,pointer or touch gesture,2D view,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-017,Navigation,View cube,R2,ChangeView,,orientation face,unsupported view,not required,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-018,Navigation,Measure distance,R1,Measure,M,two points,same or unavailable points,required before commit,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-019,Navigation,Measure angle,R2,Measure,,three points,degenerate angle,required before commit,not a model edit,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-020,Draw,Line,R1,CreateElement,L,start and end,below tolerance,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-021,Draw,Polyline,R1,CreateElement,PL,segments,self intersection where prohibited,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-022,Draw,Rectangle,R1,CreateElement,R,two corners,zero area,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-023,Draw,Polygon,R2,CreateElement,,centre radius sides,less than 3 sides,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
CMD-024,Draw,Circle,R2,CreateElement,C,centre and radius,non-positive radius,required before commit,yes,Pencil precise action with finger navigation where applicable,"Command palette, keyboard route, status and model-tree alternative",normal feedback <=32 ms; common commit <=100 ms
