id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
V3-001,"Resolve actual repository HEAD, default branch, worktree and open PR heads",historical verified; not recertified,"[""E00""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-001"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Resolve actual repository HEAD, default branch, worktree and open PR heads"", ""state"": ""verified"", ""evidence"": ""HEAD, default branch, worktree and open PR heads resolved at the start of this session; base merged at 1cdf160.""}",,,,,,,,,
V3-002,Read CLAUDE.md and FAST-KERNEL at resolved HEAD,historical verified; not recertified,"[""E33""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-002"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Read CLAUDE.md and FAST-KERNEL at resolved HEAD"", ""state"": ""verified"", ""evidence"": ""CLAUDE.md and .zeus/FAST-KERNEL.md read before actionable work; the UserPromptSubmit hook echoed the compiled contract.""}",,,,,,,,,
V3-003,Compile task with ZEUS and record contract,historical verified; not recertified,"[""E00""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-003"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Compile task with ZEUS and record contract"", ""state"": ""verified"", ""evidence"": ""Zeus compiled the prompt: implement / moderate / standard / local-green, owner ui-visual, module ui-visual.""}",,,,,,,,,
V3-004,"Build current file-level conflict map for PR-294, PR-296 and PR-298",historical verified; not recertified,"[""E33""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-004"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Build current file-level conflict map for PR-294, PR-296 and PR-298"", ""state"": ""verified"", ""evidence"": ""Conflict map resolved concretely rather than on paper: PR-294 merged mid-flight and every overlapping file was resolved to it (commit 6c29e70).""}",,,,,,,,,
V3-005,Create evidence transfer ledger,historical implemented; not recertified,"[""E33""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-005"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Create evidence transfer ledger"", ""state"": ""implemented"", ""evidence"": ""This register is the evidence-transfer ledger; per-item state and evidence recorded here.""}",,,,,,,,,
V3-006,Verify ADR-0028 and ADR-0029 states,historical verified; not recertified,"[""E00""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-006"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Verify ADR-0028 and ADR-0029 states"", ""state"": ""verified"", ""evidence"": ""ADR-0028 Accepted (D-024) and ADR-0029 Accepted (D-025) confirmed in docs/adr/ and DECISION-REGISTER.csv; pnpm check:decision-ids passes.""}",,,,,,,,,
V3-007,Verify critical environment reviewer settings,historical blocked; not recertified,"[""E33""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-007"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Verify critical environment reviewer settings"", ""state"": ""blocked"", ""evidence"": ""Owner action. Required reviewers for the arq-critical-change environment are GitHub settings; protected_l4_approval still resolves to a deferred gate.""}",,,,,,,,,
V3-008,Verify repository visibility and licence state,historical blocked; not recertified,"[""E26""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-008"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Verify repository visibility and licence state"", ""state"": ""blocked"", ""evidence"": ""Owner action. Repository is public with license NOASSERTION while LICENSE describes the contents as proprietary and confidential. Recorded in LICENSE-DECISION-REQUIRED.md.""}",,,,,,,,,
V3-009,Verify canonical Vercel project and surplus projects,historical blocked; not recertified,"[""E33""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-009"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Verify canonical Vercel project and surplus projects"", ""state"": ""blocked"", ""evidence"": ""Owner action. Canonical project is arq-website; retiring surplus projects is a Vercel setting.""}",,,,,,,,,
V3-010,Record delivery stop and prohibited mutations,historical verified; not recertified,"[""E33""]",docs/product/implementation-pack-3.0-register.json,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/product/implementation-pack-3.0-register.json,Reuse dated evidence as a locator; validate current callers and relevant gates before promotion.,proposed task-family allocation,"{""id"": ""V3-010"", ""phase"": ""P0"", ""phaseName"": ""Authority and integration control"", ""task"": ""Record delivery stop and prohibited mutations"", ""state"": ""verified"", ""evidence"": ""Delivery stop recorded as local-green; no branch, release, settings or production state was mutated.""}",,,,,,,,,
