id,blocker,state,owner,closure
B01,Immutable repository HEAD,Blocked,ZEUS/repository executor,"Capture branch, SHA, status, PRs and CI"
B02,Repository instruction files,Blocked,ZEUS,Read and hash CLAUDE.md and ZEUS files
B03,Storage authority,Blocked,Architecture owner,Accept ADR and pass crash/recovery tests
B04,Production identifiers,Blocked,File-format owner,Inventory and allocate through ADR
B05,Canonical encoding,Blocked,Core owner,Two independent implementations and vectors
B06,SQLite-WASM pin,Blocked,Storage owner,Pin source and browser matrix
B07,Geometry kernel,Blocked,Geometry owner,Complete bakeoff and licence review
B08,Topology naming,Blocked,Geometry/model owner,Implement and pass change corpus
B09,Interchange profiles,Blocked,Adapter owners,Named profiles and conformance fixtures
B10,MCP clients,Blocked,AI platform owner,Client inventory and compatibility suite
B11,Security review,Blocked,Security owner,"Threat review, fuzzing, SBOM and remediation"
B12,Public claims,Blocked,Language owner,Claim ledger and scoped approval
