id,domain,recommendation,impact,effort,status,evidenceNeeded
IMP-001,Product,Keep one protected residential workflow until reliability passes,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-002,Product,Publish a capability matrix instead of broad compatibility claims,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-003,Product,Measure time saved per workflow rather than feature count,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-004,Product,Keep archive download available on every plan,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-005,Product,Separate review collaboration from co-authoring,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-006,UX,Use one command lifecycle across all tools,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-007,UX,Make every failed operation highlight affected geometry,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-008,UX,Show local save and cloud sync separately,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-009,UX,Keep numeric entry non-modal,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-010,UX,Add Zoom to problem actions for model warnings,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-011,Geometry,Centralise tolerances,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-012,Geometry,Use semantic references for dimensions,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-013,Geometry,Avoid exact-solid coupling in the first wall engine,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-014,Geometry,Build adversarial fixtures before complex tools,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-015,Geometry,Invalidate derived systems through a dependency graph,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-016,Performance,Benchmark the protected model in CI,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-017,Performance,Throttle inactive split views,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-018,Performance,Use transferable buffers for Worker geometry,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-019,Performance,Keep model state outside React,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-020,Performance,Use spatial indexing for selection and snaps,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-021,Reliability,Journal before reporting a local commit,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-022,Reliability,Retain original archives during migration,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-023,Reliability,Treat imports as temporary transactions,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-024,Reliability,Make exports read-only snapshots,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-025,Reliability,Provide safe mode that ignores optional caches,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-026,Interoperability,Start IFC with viewing and reports,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-027,Interoperability,Treat DXF and DWG as separate commitments,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-028,Interoperability,Preserve source identifiers,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-029,Interoperability,Validate in independent applications,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-030,Interoperability,"Publish preserved, converted and unsupported categories",high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-031,AI,Begin with explain selection,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-032,AI,Require typed operations,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-033,AI,Show assumptions and affected IDs,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-034,AI,Group AI changes into one undoable action,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-035,AI,Benchmark ambiguity rejection,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-036,iPad,Separate Pencil and finger roles,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-037,iPad,Design portrait independently,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-038,iPad,Use native only for measurable additional value,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-039,iPad,Treat RoomPlan as uncertain source data,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-040,iPad,Keep keyboard and trackpad parity,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-041,Security,Authorise every API action server-side,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-042,Security,Hash share tokens,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-043,Security,Keep project content out of default telemetry,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-044,Security,Fuzz every file parser,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-045,Security,Apply complexity limits before parsing,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-046,Accessibility,Expose model structure through tree and inspector,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-047,Accessibility,Never use colour as the only status signal,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-048,Accessibility,Return focus after dialogs,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-049,Accessibility,Test 200 percent browser zoom,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
IMP-050,Accessibility,Use accessible primitives for standard controls,high,varies,planned,"ADR, benchmark, usability test or security review as applicable"
