id,item,owner,status,closure_evidence
R-001,Reconcile public repository visibility with proprietary and confidential licence wording,Owner and legal,blocked-owner-decision,"Approved visibility decision and legally reviewed LICENSE text"
R-002,Complete trademark domain and app-store name clearance,Legal,blocked-external-evidence,Clearance record and owner approval
R-003,Approve privacy notice and product terms,Legal and privacy,blocked-external-evidence,"Published approved documents before hosted features launch"
R-004,Decide external-contributor and contributor-licence policy,Governance and legal,blocked-owner-decision,Approved contribution policy
R-005,Validate target user and protected workflow with architects,Product research,blocked-user-evidence,Interview and usability evidence tied to decisions
R-006,Approve supported browser device and platform matrix,Product and engineering,blocked-hardware-evidence,Protected workflow and failure-path runs on named environments
R-007,Accept revise or reject Proposed ADR-0028 for SQLite-WASM/OPFS and Dexie/IndexedDB persistence responsibilities,Architecture owner,blocked-owner-decision,Accepted ADR with migration recovery publication and rollback plan
R-008,Complete browser Worker and OPFS project-open pipeline,Engineering,blocked-by-R-007,"Valid old-reader corrupt read-only migration hydration and recovery tests"
R-009,Complete end-to-end import and export workflows,Interoperability,open-implementation,Reachable UI flows with fidelity reports and golden files
R-010,Complete product host and Review Centre for MCP proposals,AI and product engineering,open-implementation,"Reachable proposal preview approval undo and client-run evidence"
R-011,Implement sync transport and backend,Platform engineering,open-implementation,"Authorisation ordering conflict recovery and cross-project isolation tests"
R-012,Complete protected wall-to-PDF-to-reopen workflow,Product engineering,blocked-by-R-007,"L4 acceptance evidence across approved platforms"
R-013,Approve production performance budgets and project corpus,Performance owner,blocked-owner-decision,"Named hardware corpus percentiles thresholds and regression policy"
R-014,Complete dependency dataset model-weight and font legal review,Legal,blocked-external-evidence,Reviewed inventory and distribution decision
R-015,Complete external accessibility review,Accessibility owner,blocked-external-evidence,Audit findings remediations and accepted exceptions
R-016,Validate Pencil hover squeeze haptics RoomPlan and LiDAR,Platform engineering,blocked-hardware-evidence,Supported Apple hardware test record
R-017,Approve pricing billing and launch market,Commercial owner,blocked-market-evidence,Approved commercial decision and updated public claims
R-018,Choose hosting regions retention backups and deletion policy,Operations privacy and security,blocked-owner-decision,Approved architecture policy and tested runbooks
R-019,Name incident release and support owners,Operations,blocked-owner-decision,"Owner register escalation path rollback and post-release runbooks"
R-020,Promote Engineering OS gate from shadow mode,Release owner,blocked-by-R-008,"Green current-head e2e_arq_open evidence and protected L4 approval"
R-021,Close or rebuild stale draft PR #280 before any merge,Architecture owner,blocked-owner-decision,"Current-base branch with unique ADR and decision IDs plus current L4 evidence"
