id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
GH-501,[VOID] Accidental placeholder issue,closed,"[""E00""]",,https://github.com/ruddvz/Arq/issues/501,"Voided accidental placeholder; retained for complete inventory, no product work.",explicit owner mapping,Accidentally created while selecting the GitHub branch mutation interface during #398 evidence work. No project work or decision is tracked here. Closed immediately as not planned.,,,,,,,,,
GH-500,[VOID] Accidental placeholder issue,closed,"[""E00""]",,https://github.com/ruddvz/Arq/issues/500,"Voided accidental placeholder; retained for complete inventory, no product work.",explicit owner mapping,Accidentally created while loading the GitHub mutation interface during #398 evidence work. No project work or decision is tracked here. Closed immediately as not planned.,,,,,,,,,
GH-494,"[PUBLIC SITE V2] Implement ARQ editorial public-site system, starting with shared foundation and PUB-001",open,"[""E27""]",,https://github.com/ruddvz/Arq/issues/494,Execute/reconcile existing issue; preserve source acceptance.,explicit owner mapping,"Parent design-production gap: #205
Related UI/UX programme: #377
Recurring CTO reconciliation: #369
Repository authority: #332

```yaml
programme: arq-public-site-v2
phase: W0-W6
lifecycle: active
risk: standard
blast_radius: public
reversibility: reversible
branch: codex/arq-public-site-editorial-v1
base_head: df04288c182bdfcee91f92e70b0e5d0017fc0628
owner: ChatGPT implementation lane
```

## User outcome
Turn the current static ARQ public site into a distinctive editorial-technical system without weakening its strongest properties: static HTML, no client-side JavaScript, no third-party requests, governed claims, accessibility, dark appearance, 320px support and 200% zoom.

## Current evidence / known gap
The current `apps/marketing` implementation is structurally sound but visually repetitive. It relies on one 68rem measure, a conventional hero scale and a small shared component vocabulary. `design/page-renderings/PAGE-RENDERINGS-MANIFEST.csv` still marks public visual assets as deferred. Marketing CSS also duplicates canonical brand colour values and currently uses a different dark green than `design/tokens/brand.v4.css`. `layout.ts` hardcodes a stale `REV B · 2026-08` footer label.

## First implementation slice
1. Preserve the current integration authority from #332. Do not assume `main`.
2. Add the approved master public-site plan to the repository.
3. Establish a canonical brand-token bridge for marketing without creating a second brand authority.
4. Remove the stale hand-maintained revision month.
5. Add an additive editorial CSS layer rather than destabilising the existing stylesheet in one large rewrite.
6. Add typed shared editorial primitives needed for PUB-001.
7. Recompose PUB-001 using governed current copy and explicit current/limit state pairs.
8. Preserve all public-site route, language, claim, accessibility and no-external-resource invariants.
9. Open a PR and use CI as the executable evidence layer available to this lane.

## Owned files for this slice
Primary ownership:
- `docs/design/ARQ-PUBLIC-WEBSITE-EDITORIAL-SYSTEM-MASTER-PLAN-v1.0.md`
- `apps/marketing/src/layout.ts`
- `apps/marketing/src/build.ts`
- `apps/marketing/src/editorial.css` (new)
- `apps/marketing/src/components.ts`
- `apps/marketing/src/content/home.ts`
- focused public-site tests only if required by the implementation

Do not overlap another active lane touching these files without reconciliation.

## Non-negotiables
- no framework rewrite;
- no client JS dependency for core content;
- no external resources;
- no fake product screenshots, metrics or capability;
- no weakening ARQ Language System 4.1;
- no second semantic capability vocabulary;
- `.arq opens` must stay adjacent to `does not save back`;
- 3D viewing must not become 3D authoring by implication;
- state cannot rely on colour alone;
- mobile/200% zoom/accessibility outrank exact visual mimicry;
- do not change the public route contract as part of styling work.

## Evidence required before completion
- exact branch head;
- CI/build/type/test status on that head;
- public-site language/claim checks;
- no-external-resource checks;
- responsive/zoom/visual evidence where current tooling can produce it;
- explicit report of any evidence that remains not-inspected rather than treating it as green.

## Completion boundary
This issue is not the entire 17-page rollout. The first closeable checkpoint is a verified shared foundation plus PUB-001 visual proof. PUB-002 onward should proceed only after that system is proven and reviewed.",,,,,,,,,
GH-493,[UX-0.6] Reconcile UI/UX issue graph with P1/P2/P3 semantic owners before implementation starts,closed,"[""E02""]",,https://github.com/ruddvz/Arq/issues/493,Retain history; closure is not current release proof. Reuse verified implementation and recheck only affected evidence.,explicit owner mapping,"Parent epic: #379
Parent UI/UX programme: #377
Parent universal programme: #367
Coordination authority: #368, #369

```yaml
phase: UX-0
lifecycle: ready
depends_on: []
risk: standard
parallel_safe: yes
ownership: [issue-metadata, docs/product/ARQ-UI-UX-ISSUE-EXECUTION-INDEX.md]
evidence: [live-issue-audit, dependency-graph-validation]
```

## 1. User outcome
Parallel agents receive one bounded implementation responsibility rather than two issues asking different agents to implement the same wall, door, room, sheet or Agent capability.

## 2. Current evidence / known gap
While the UI/UX programme was being decomposed, the universal programme was also decomposed into semantic/product issues such as #378 walls, #380 openings, #382 rooms, #385 dimensions, #387 notes, #389 cross-surface coordination, #391 browser/inspector, #393 sheets, #395 PDF, #400 accessibility, #402 performance, #404 help, #406 protected workflow, #415 exchange fidelity, #421/#422/#424 Agent and later supporting issues. These are complementary to the UI/UX slices only if ownership/dependencies are explicit. Without reconciliation, independent agents could duplicate mutation/model work.

## 3. In scope
Read every open UI/UX issue under #377 and every overlapping P1/P2/P3 issue from #367 at the current head. For each overlap, classify one issue as semantic/domain owner and the other as UI integration/polish/evidence slice, or mark a true duplicate for owner review. Update issue bodies/metadata with explicit `depends_on`, `blocked_by`, ownership globs and cross-links. Ensure no two parallel-safe issues claim the same high-conflict files or canonical operation authority without sequencing. Generate/update the UI/UX issue execution index with a dependency graph and safe first work frontier.

At minimum reconcile:
- #431/#433/#435 with #378 and geometry/tolerance #464;
- #437/#439/#441 with #380;
- #443 with #382;
- #445 with #385/#465;
- #447 with #387;
- #449/#456 with #391 and locale/units #452/#88 where relevant;
- #451-#458 with #389 and semantic level/model owners;
- #459-#471 with #371/#355/#356/#410/#415;
- #472-#476 with #393/#395/#406;
- #477-#483 with #419/#421/#422/#424/#428;
- #484-#492 with #400/#402/#404/#408 and platform issues #358-#360.

## 4. Out of scope
No product implementation, no closing an issue as duplicate without reading its actual contract, no redesign of the universal programme.

## 5. Dependencies and active ownership conflicts
This issue is issue/document metadata only and can run before implementation. It must inspect live open PRs as temporary ownership claims.

## 6. Canonical model / operations impact
None. The purpose is specifically to ensure each canonical mutation/data authority has one implementation owner.

## 7. UI/UX states
Not applicable to runtime; issue-state/lifecycle states must be accurate: ready, blocked, active/claimed, review, integrated/closed.

## 8. Persistence / recovery impact
Explicitly ensure persistence/domain issues own storage semantics and UI issues only integrate/display those results unless the issue says otherwise.

## 9. Security / privacy impact
Ensure Agent/import/read-only UI issues do not own security authority that belongs to their domain issues.

## 10. Accessibility / input impact
Ensure #400 remains accessibility authority while UI slices own only feature-specific implementation/evidence.

## 11. Performance impact
Ensure #402 remains budget authority while feature issues own fixes in their hot paths.

## 12. Tests and exact-head evidence
Live GitHub issue/PR inventory; dependency graph has no unclassified semantic-owner collision; high-conflict file ownership map from #396 is incorporated when available; index is deterministic/current-head stamped.

## 13. Acceptance criteria
- every known overlap is explicitly classified and cross-linked;
- no semantic capability has two independent implementation authorities;
- machine-readable dependencies reflect actual blockers;
- every `parallel_safe: yes` lane is safe against known ownership conflicts or narrowed accordingly;
- the execution index names the current ready frontier and CTO reconciliation triggers;
- later agents can choose an issue without re-discovering the entire programme.

## 14. Agent progress updates
Post exact issue/PR snapshot time/head, overlaps found, bodies/metadata updated, true duplicates needing owner decision, and the next safe parallel lanes.

## 15. ZEUS CTO reconciliation notes
#369 must treat this reconciled graph as the UI/UX routing map and refresh it whenever universal programme decomposition adds or materially changes an overlapping domain issue.",,,,,,,,,
GH-492,"[UX-8.9] Run final UI/UX programme acceptance, human-evidence reconciliation and CTO handoff",open,"[""E25"", ""E30""]",,https://github.com/ruddvz/Arq/issues/492,Execute/reconcile existing issue; preserve source acceptance.,explicit owner mapping,"Parent epic: #394
Parent UI/UX programme: #377
Depends on: #476, #484, #485, #486, #487, #488, #489, #490, #491 and required platform/human gates
Human alpha/usability: #211, #408
Recurring CTO: #369

```yaml
phase: UX-8
lifecycle: blocked
risk: high
parallel_safe: false
release_gate_impact: UI/UX programme acceptance
human_evidence_required: true
evidence: [exact-head-e2e, accessibility, performance, visual, device, usability, CTO-reconciliation]
```

## 1. User outcome
ARQ's UI/UX programme ends with one evidence-backed product experience, not a pile of merged redesign PRs whose interactions were never tested together.

## 2. Current evidence / known gap
#377 defines UX-0 through UX-8 and #369 provides the recurring CTO integrator. This issue is the final UI/UX acceptance checkpoint after all applicable lanes have been integrated and real human/platform evidence is available.

## 3. In scope
At current integration authority: rebuild UI/UX capability/dependency state; run #476 protected workflow; consume accessibility #484, tablet/Pencil #485, motion #486, visual matrix #487, renderer fallback #488, performance #489, lifecycle stress #490 and help/usability #491; reconcile supported browser/device matrix #358-#360; review #211/#408 human findings; inspect open P0/P1 UI defects and unresolved review comments; run #369 reconciliation; fix only bounded integration defects or open owner-scoped issues; update #377 and phase epics with verified state.

## 4. Out of scope
No new feature scope, no waiver of failed mandatory evidence, no issue-count percentage as proof of quality, no closing blocked human/device gates by assumption.

## 5. Dependencies and active ownership conflicts
Run after implementation lanes are merged. Do not overwrite active owners. Exact integration head must remain stable for each recorded evidence run or evidence must be rerun after changes.

## 6. Canonical model / operations impact
No new operation authority. Verify manual, document and Agent UI surfaces all converge on canonical operations/persistence appropriate to their phase.

## 7. UI/UX states
Acceptance covers normal protected workflow plus representative empty/loading/read-only/validation/error/recovery/renderer-failure/Agent-failure states that are active in the tested phase.

## 8. Persistence / recovery impact
Native edit/publish/reopen/recovery truth is mandatory for Core acceptance; later-phase Agent/import/document paths use their applicable durability contracts.

## 9. Security / privacy impact
Consume parser/Agent/privacy evidence where active. No private user project data in acceptance fixtures or screenshots.

## 10. Accessibility / input impact
Mandatory linked evidence from #484/#485 and required human/device checks; missing evidence keeps the corresponding claim red/blocked.

## 11. Performance impact
Mandatory #489/#402 verdict for protected hot paths and no unresolved material regression.

## 12. Tests and exact-head evidence
One structured evidence bundle with integration branch/head, commands/results, browser/device envelope, visual artifacts, benchmark deltas, human evidence references, failure-injection results, known limitations and open blockers.

## 13. Acceptance criteria
- #476 protected workflow is green on exact integration head;
- no unresolved release-stop/P1-critical UI defect remains;
- accessibility/performance/renderer/lifecycle gates required for Core are green;
- tablet/physical/human evidence is present for every claim that requires it, or the claim remains explicitly unsupported/blocked;
- save/publish/export/import/Agent wording matches actual capability state;
- #369 reconciliation finds no unresolved cross-lane authority/integration defect;
- #377 can be closed or narrowed only from this evidence and an owner-approved programme decision.

## 14. Agent progress updates
Post exact head, evidence bundle location, gate verdicts, human/device debt, regressions fixed/issues opened and final next-safe frontier.

## 15. ZEUS CTO reconciliation notes
#369 is required before closure. If later feature phases continue beyond Core, keep #377 open for those phase-specific UX gates or explicitly revise the programme rather than declaring global completion prematurely.",,,,,,,,,
GH-491,"[UX-8.8] Reconcile first-run, contextual help and shortcut guidance against the final editor",open,"[""E21"", ""E27""]",,https://github.com/ruddvz/Arq/issues/491,Execute/reconcile existing issue; preserve source acceptance.,explicit owner mapping,"Parent epic: #394
Depends on: #404, #420, #427, #476
Related usability evidence: #211, #408
Parent programme: #377

```yaml
phase: UX-8
lifecycle: blocked
blocked_by: [404,420,427,476]
risk: standard
parallel_safe: yes
human_evidence_required: true
ownership: [help/onboarding UI, command-derived references, packages/design-system/**]
evidence: [browser-help, registry-drift-check, usability]
```

## 1. User outcome
A first-time architect can discover the protected workflow and recover from unfamiliar states without forced tours, stale help text or developer coaching, while experienced users can work without interruptions.

## 2. Current evidence / known gap
#404 owns first-run/contextual help for Core. UI/UX work can change commands, shell layout, panel locations and tool states after help is initially implemented, so a final reconciliation is required.

## 3. In scope
Reconcile #404 against canonical command registry, final shell, active-tool HUD, level navigation, durability/recovery, sheet/export and supported Agent surfaces. Generate shortcut/help references from stable command metadata where possible, verify empty-state guidance and error/recovery links, ensure coach marks never cover precision interactions, and add a drift check preventing references to removed/renamed commands/surfaces.

## 4. Out of scope
No forced onboarding tour, marketing education, hidden telemetry dependency or documentation rewrite unrelated to in-product guidance.

## 5. Dependencies and active ownership conflicts
Consume #404 rather than replacing it. Coordinate command/help metadata with #420 and active-tool hints with #427.

## 6. Canonical model / operations impact
None. Help invokes/navigates to canonical commands; it does not create alternate actions.

## 7. UI/UX states
First run, no project, empty level, active tool, no selection, read-only, recovery/error, no sheet, command unavailable and advanced/Agent feature unavailable.

## 8. Persistence / recovery impact
Help copy must accurately distinguish working-copy persistence, Publish, recovery and external export states.

## 9. Security / privacy impact
No private project content enters generic help/telemetry; error help links expose only safe diagnostic categories.

## 10. Accessibility / input impact
Help is keyboard/screen-reader accessible, dismissible, reopenable and does not trap focus or obscure active precision work.

## 11. Performance impact
Help content/illustration dependencies remain lightweight/lazy; no first-paint penalty from a large documentation bundle.

## 12. Tests and exact-head evidence
Command/help drift validation, browser dismiss/reopen/focus, stale-state links, first-run protected-flow smoke and real usability findings from #211/#408.

## 13. Acceptance criteria
- in-product help references only current commands/surfaces;
- first-time protected workflow has no hidden developer-only step;
- guidance is dismissible/non-obstructive for experts;
- save/publish/recovery language is truthful;
- real usability findings become bounded fixes/issues rather than being buried.

## 14. Agent progress updates
Post commands/help sources compared, stale guidance removed, browser evidence and human findings incorporated or still blocked.

## 15. ZEUS CTO reconciliation notes
#369 checks help/shortcut drift after command/shell changes and keeps human usability debt explicit in phase status.",,,,,,,,,
GH-490,"[UX-8.7] Add repeated open/close, panel/surface churn and Worker/memory leak regression evidence",open,"[""E23""]",,https://github.com/ruddvz/Arq/issues/490,Execute/reconcile existing issue; preserve source acceptance.,explicit owner mapping,"Parent epic: #394
Depends on: integrated native open/persistence, 3D, sheet and Agent surfaces as applicable
Related performance gate: #402
Parent programme: #377

```yaml
phase: UX-8
lifecycle: blocked
risk: high
parallel_safe: yes
ownership: [browser-capability-checks, apps/web lifecycle boundaries, Worker/session integration]
evidence: [browser-memory, worker-count, lifecycle-stress]
```

## 1. User outcome
ARQ remains stable during a real workday: repeatedly opening/closing projects and moving between heavy surfaces does not accumulate Workers, event listeners, object URLs, GPU resources or UI state until the editor becomes slow or unreliable.

## 2. Current evidence / known gap
Native open evidence already asserts one Worker and clean close for a bounded scenario. The UI/UX programme introduces more panels/sheets/deferred surfaces and needs a repeated lifecycle stress proof rather than a single-cycle smoke test.

## 3. In scope
Create deterministic browser stress scenarios for repeated `.arq` open/close, Plan↔3D cycles, panel/drawer open/close, sheet enter/exit, file dialog cancel/reopen, Publish/export attempts and Agent surface/session connect/disconnect when active. Track Worker/session count, event listeners/subscriptions where instrumentable, object/blob URLs, retained project identifiers, renderer/resource disposal signals and browser memory proxies supported by the test environment. Define stable thresholds/trends rather than brittle absolute memory bytes where APIs are noisy.

## 4. Out of scope
No synthetic memory claim on physical devices that test APIs cannot observe, no arbitrary forced GC requirement for product correctness, no rewrite of Worker architecture unless evidence identifies a defect.

## 5. Dependencies and active ownership conflicts
Coordinate native-session/Worker, ModelCanvas, file-delivery and Agent lifecycle owners. Prefer test/instrumentation hooks that do not ship sensitive debug state to production.

## 6. Canonical model / operations impact
No semantic change. Closing one project/session must not affect another project's canonical state or reuse stale identity.

## 7. UI/UX states
Normal close, close during pending UI state, failed open, failed export, renderer surface teardown, Agent disconnect and reopening a different project.

## 8. Persistence / recovery impact
Stress tests must wait/handle pending acknowledged writes according to lifecycle policy; they may not hide leaks by force-closing unsafely.

## 9. Security / privacy impact
Instrumentation records counts/IDs only from synthetic fixtures; no private content or secrets.

## 10. Accessibility / input impact
No direct scope; lifecycle fixes must preserve focus restoration and accessible status behaviour.

## 11. Performance impact
Primary scope: detect monotonic growth and interaction degradation over repeated cycles; correlate with #402 budgets.

## 12. Tests and exact-head evidence
Production-build headless-browser stress loop, Worker/session assertions, project identity isolation, repeated 3D/Sheet/Agent mount-unmount, object URL cleanup, memory trend report and zero unexpected console-error requirement.

## 13. Acceptance criteria
- repeated project open/close returns Worker/session counts to expected baseline;
- heavy UI surface churn has no material monotonic resource leak;
- project identities/context do not survive into unrelated sessions;
- object URLs/listeners/subscriptions owned by scoped features are cleaned up;
- any noisy memory metric is reported honestly with the stronger deterministic leak signals.

## 14. Agent progress updates
Post exact head/browser, cycle counts, before/after resource metrics, leaks found/fixed and limitations of available memory APIs.

## 15. ZEUS CTO reconciliation notes
#369 runs/selects this stress evidence after lifecycle-heavy merges and treats retained wrong-project context or leaked Workers as integration blockers.",,,,,,,,,
GH-489,[UX-8.6] Enforce UI interaction latency and bundle budgets through the Core performance gate,open,"[""E23""]",,https://github.com/ruddvz/Arq/issues/489,Execute/reconcile existing issue; preserve source acceptance.,explicit owner mapping,"Parent epic: #394
Depends on: #402 and integrated UX-1..UX-7 hot paths
Parent programme: #377

```yaml
phase: UX-8
lifecycle: blocked
blocked_by: [402]
risk: high
parallel_safe: false
release_gate_impact: Core-1.0 performance
evidence: [workflow-benchmarks, bundle-budget, exact-head]
```

## 1. User outcome
The polished editor remains fast during the interactions architects repeat constantly; UI refinement cannot quietly trade responsiveness for visual complexity.

## 2. Current evidence / known gap
#402 owns end-to-end Core performance budgets. This issue is the UI/UX reconciliation pass ensuring programme-added shell, panel, tool, tree, sheet and Agent surfaces are covered by those budgets and do not add hidden latency/bundle regressions.

## 3. In scope
Measure and route fixes for first usable workspace, panel open/resize, command palette open/search, selection→inspector, level switch, Plan pan/zoom, hover/snap, wall/opening preview, direct reshape, Plan↔3D, 3D orbit/select, project-browser search/scroll, sheet open/viewport drag, PDF preflight, import/Agent panel lazy open where active, and responsive drawer/sheet interaction. Enforce startup/deferred bundle budget, long-task visibility and stable measurement definitions from #402.

## 4. Out of scope
No arbitrary target invented here if #402 has an accepted budget. Do not game metrics by delaying visible work outside measurement windows or lowering fixture complexity.

## 5. Dependencies and active ownership conflicts
Run after relevant lanes are integrated. Performance fixes touching feature ownership should go back to the owning issue unless bounded/common infrastructure.

## 6. Canonical model / operations impact
No semantic changes solely for benchmark appearance. Optimisations must preserve canonical results and invalidation correctness.

## 7. UI/UX states
Cold/warm open where defined, large project, panels collapsed/open, active tool, large selection/tree, 3D deferred load, tablet/phone composition and long-running export/import/Agent operations.

## 8. Persistence / recovery impact
Measure save/publish acknowledgement UI response through #402 but do not change durability semantics to improve timings.

## 9. Security / privacy impact
Benchmarks use synthetic fixtures and collect no private project content.

## 10. Accessibility / input impact
Performance optimisations must not remove focus/live-region updates or shrink touch targets; verify accessibility after structural optimisations.

## 11. Performance impact
Primary scope. Record device/browser/environment and before/after baselines. Regressions require fix or explicit reviewed budget change with user impact.

## 12. Tests and exact-head evidence
#402 benchmark suite, UI-specific timing probes, production build bundle analysis, long-task/memory observations, exact integration SHA and regression comparison.

## 13. Acceptance criteria
- all UI/UX hot paths map to accepted #402 budgets;
- no material unexplained regression remains;
- startup and lazy chunks remain within budget;
- performance fixes preserve semantic/accessibility behaviour;
- evidence is reproducible on defined stable environments.

## 14. Agent progress updates
Post exact head/environment, before/after metrics, budget verdict per interaction, fixes/issues opened and bundle deltas.

## 15. ZEUS CTO reconciliation notes
#369 consumes #402/this issue rather than qualitative `feels fast` claims, especially after shell/3D/Agent integrations.",,,,,,,,,
GH-488,"[UX-8.5] Add honest weak-GPU, renderer-init and 3D failure fallback UX",open,"[""E18""]",,https://github.com/ruddvz/Arq/issues/488,Execute/reconcile existing issue; preserve source acceptance.,explicit owner mapping,"Parent epic: #394
Depends on: #457, #418 and current supported browser/device envelope #358/#360
Parent programme: #377

```yaml
phase: UX-8
lifecycle: blocked
blocked_by: [457,418]
risk: high
parallel_safe: yes
ownership: [apps/web/src/ModelCanvas.tsx, packages/model-renderer/**, packages/design-system/**]
evidence: [failure-injection, browser-matrix, capability-fallback]
```

## 1. User outcome
If 3D cannot initialise, the GPU/context fails, or a browser falls outside the supported renderer envelope, ARQ keeps the project usable and explains what failed instead of showing a black/blank canvas or crashing the whole workspace.

## 2. Current evidence / known gap
ARQ's 3D surface is real WebGL2 and browser/platform support is being formalised by #358/#360. The UI/UX programme needs deterministic renderer failure/fallback states comparable in trust to file/persistence failures.

## 3. In scope
Identify renderer initialisation/capability failure classes already detectable; add 3D loading timeout, unsupported-capability, context-lost/runtime render error and recover/retry/reload guidance where technically valid; preserve Plan/browser/inspector usability; allow return to Plan; keep current project/selection safe; provide privacy-safe diagnostics hook. If a lower-quality supported render mode already exists, expose it honestly rather than inventing one here.

## 4. Out of scope
No WebGPU migration, no new renderer backend, no pretending unsupported hardware is supported, no hiding repeated GPU failure behind infinite retries.

## 5. Dependencies and active ownership conflicts
Coordinate ModelCanvas/renderer owners and #358/#360 support policy. Do not alter semantic project state to recover renderer errors.

## 6. Canonical model / operations impact
Renderer failure never changes canonical project data. Renderer/cache state remains disposable and rebuildable.

## 7. UI/UX states
Deferred 3D loading, slow init, unsupported WebGL/capability, context lost, runtime renderer error, retrying, recovered, permanent fallback to Plan and browser/device unsupported.

## 8. Persistence / recovery impact
Project durability continues independently. Renderer failure cannot trigger false recovery/save messages or discard edits.

## 9. Security / privacy impact
Diagnostics redact GPU/browser details only as required by privacy policy and never include project geometry/content by default.

## 10. Accessibility / input impact
Failure panel/status is keyboard and screen-reader accessible, returns focus safely to a usable surface and does not rely on canvas-only text.

## 11. Performance impact
Detection/recovery adds negligible hot-path overhead; no high-frequency polling. Retry attempts are bounded.

## 12. Tests and exact-head evidence
Capability/init failure injection, context-lost simulation where possible, renderer exception boundary, Plan usability during failure, retry/recovery, browser matrix and zero project mutation/durability regression.

## 13. Acceptance criteria
- blank/black 3D failures become explicit actionable states;
- Plan/project browsing remains usable when 3D fails;
- renderer failure cannot corrupt or mutate project data;
- retries are bounded and honest;
- support claims follow #358/#360 evidence rather than optimistic fallback.

## 14. Agent progress updates
Post detectable failure classes, recovery path per class, tested browser/GPU environments, diagnostics fields and exact evidence.

## 15. ZEUS CTO reconciliation notes
#369 includes renderer failure smoke after 3D changes and treats project-level crashes from 3D failure as a high-priority integration defect.",,,,,,,,,
GH-487,"[UX-8.4] Build the authoritative editor visual-regression matrix across breakpoints, themes and critical states",open,"[""E22""]",,https://github.com/ruddvz/Arq/issues/487,Execute/reconcile existing issue; preserve source acceptance.,explicit owner mapping,"Parent epic: #394
Depends on: UX-1 shell integration and representative UX-2..UX-7 surfaces
Parent programme: #377

```yaml
phase: UX-8
lifecycle: blocked
risk: standard
parallel_safe: yes
ownership: [visual-test infrastructure, committed visual fixtures, packages/design-system/**]
evidence: [production-browser-screenshots, deterministic-fixtures, pixel-diff]
```

## 1. User outcome
ARQ's polished editor does not silently regress layout, occlusion, hierarchy or critical state visibility as parallel agents change shared UI.

## 2. Current evidence / known gap
ARQ has individual visual/capability fixtures, but the UI/UX programme needs one deliberate matrix covering the final shell and critical states rather than a collection of unrelated screenshots.

## 3. In scope
Define a bounded deterministic matrix for supported desktop/tablet/phone breakpoints, available light/dark/appearance modes, Plan/3D/Sheet surfaces, panel expanded/collapsed states, active tool, selection/multi-selection, no project/loading/read-only/error/recovery, import/export review and Agent/Review Centre when those phases are active. Use stable seeded project fixtures, mask only truly nondeterministic data with documented reasons, and provide review tooling/output that makes regressions easy to inspect.

## 4. Out of scope
Do not snapshot every component permutation, use visual baselines as semantic correctness proof or approve baseline updates merely because implementation changed.

## 5. Dependencies and active ownership conflicts
Coordinate existing benchmark/result screenshot ownership. Baseline changes in active feature PRs must explain intended visual differences.

## 6. Canonical model / operations impact
None. Fixtures may seed canonical data but visual test code cannot become a product data path.

## 7. UI/UX states
Matrix explicitly includes critical normal, disabled, loading, empty, error, read-only and modal/sheet/overlay interactions at representative dimensions.

## 8. Persistence / recovery impact
Include at least one recovery/durability-error visual state; do not infer persistence correctness from the screenshot.

## 9. Security / privacy impact
Only synthetic/committed test fixtures. Strip secrets/local paths/timestamps from baselines.

## 10. Accessibility / input impact
Visual regression checks focus visibility and non-colour state in representative fixtures but do not replace accessibility tests.

## 11. Performance impact
Keep CI matrix bounded; shard or run selected impacted baselines via path mapping, with periodic full matrix. Avoid turning every small change into an unbounded browser farm.

## 12. Tests and exact-head evidence
Deterministic screenshot generation from production build, pixel-diff thresholds documented per surface, intentional-change review workflow, nondeterminism stability test and CI/path-selected execution.

## 13. Acceptance criteria
- one documented visual matrix covers critical UI/UX states and breakpoints;
- baselines are deterministic enough to catch real regressions;
- updates require stated intended change and cannot hide semantic failures;
- focus/selection/error/read-only states are visually distinguishable;
- CI cost is measured and bounded.

## 14. Agent progress updates
Post matrix inventory, fixture/head SHA, CI/runtime cost, nondeterministic regions and every intentional baseline update reason.

## 15. ZEUS CTO reconciliation notes
#369 uses this matrix for cross-lane UI reconciliation but must still run semantic/accessibility evidence; a green pixel diff alone is never a phase gate.",,,,,,,,,
