id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
CMD-001,Select,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-001
category: General
name: Select
stage: R1
operation: Select
shortcut: V
inputs: pointer or tree item
invalid_examples: locked or hidden target
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-002,Window select,catalogued; execution evidence unverified,"[""E12""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-002
category: General
name: Window select
stage: R1
operation: Select
shortcut: 
inputs: drag rectangle
invalid_examples: invalid canvas start
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-003,Crossing select,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-003
category: General
name: Crossing select
stage: R1
operation: Select
shortcut: 
inputs: reverse drag rectangle
invalid_examples: invalid canvas start
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-004,Cycle candidates,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-004
category: General
name: Cycle candidates
stage: R1
operation: Select
shortcut: Tab
inputs: overlapping candidates
invalid_examples: no candidate
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-005,Deselect,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-005
category: General
name: Deselect
stage: R1
operation: Select
shortcut: Escape
inputs: current selection
invalid_examples: none
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-006,Command palette,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-006
category: General
name: Command palette
stage: R1
operation: OpenPanel
shortcut: Cmd/Ctrl K
inputs: query
invalid_examples: none
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-007,Undo,catalogued; execution evidence unverified,"[""E06""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-007
category: General
name: Undo
stage: R1
operation: Undo
shortcut: Cmd/Ctrl Z
inputs: eligible local operation
invalid_examples: operation no longer invertible
preview: required before commit
undo: yes
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-008,Redo,catalogued; execution evidence unverified,"[""E06""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-008
category: General
name: Redo
stage: R1
operation: Redo
shortcut: Cmd/Ctrl Shift Z
inputs: eligible undone operation
invalid_examples: branch changed
preview: required before commit
undo: yes
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-009,Cancel command,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-009
category: General
name: Cancel command
stage: R1
operation: Cancel
shortcut: Escape
inputs: active command
invalid_examples: none
preview: required before commit
undo: yes
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-010,Confirm command,catalogued; execution evidence unverified,"[""E41""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-010
category: General
name: Confirm command
stage: R1
operation: Commit
shortcut: Enter
inputs: valid preview
invalid_examples: blocking validation
preview: required before commit
undo: yes
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-011,Repeat last command,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-011
category: General
name: Repeat last command
stage: R2
operation: OpenCommand
shortcut: 
inputs: last repeatable command
invalid_examples: command not repeatable
preview: required before commit
undo: yes
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-012,Pan,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-012
category: Navigation
name: Pan
stage: R1
operation: ChangeView
shortcut: Space
inputs: pointer delta
invalid_examples: none
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-013,Zoom,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-013
category: Navigation
name: Zoom
stage: R1
operation: ChangeView
shortcut: 
inputs: wheel or pinch
invalid_examples: none
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-014,Fit project,catalogued; execution evidence unverified,"[""E08""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-014
category: Navigation
name: Fit project
stage: R1
operation: ChangeView
shortcut: Shift F
inputs: visible project bounds
invalid_examples: empty project
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-015,Fit selection,catalogued; execution evidence unverified,"[""E04""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-015
category: Navigation
name: Fit selection
stage: R1
operation: ChangeView
shortcut: F
inputs: selection bounds
invalid_examples: empty selection
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-016,Orbit,catalogued; execution evidence unverified,"[""E18""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-016
category: Navigation
name: Orbit
stage: R1
operation: ChangeView
shortcut: 
inputs: pointer or touch gesture
invalid_examples: 2D view
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-017,View cube,catalogued; execution evidence unverified,"[""E18""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-017
category: Navigation
name: View cube
stage: R2
operation: ChangeView
shortcut: 
inputs: orientation face
invalid_examples: unsupported view
preview: not required
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-018,Measure distance,catalogued; execution evidence unverified,"[""E18""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-018
category: Navigation
name: Measure distance
stage: R1
operation: Measure
shortcut: M
inputs: two points
invalid_examples: same or unavailable points
preview: required before commit
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-019,Measure angle,catalogued; execution evidence unverified,"[""E18""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-019
category: Navigation
name: Measure angle
stage: R2
operation: Measure
shortcut: 
inputs: three points
invalid_examples: degenerate angle
preview: required before commit
undo: not a model edit
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-020,Line,catalogued; execution evidence unverified,"[""E46""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-020
category: Draw
name: Line
stage: R1
operation: CreateElement
shortcut: L
inputs: start and end
invalid_examples: below tolerance
preview: required before commit
undo: yes
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-021,Polyline,catalogued; execution evidence unverified,"[""E46""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-021
category: Draw
name: Polyline
stage: R1
operation: CreateElement
shortcut: PL
inputs: segments
invalid_examples: self intersection where prohibited
preview: required before commit
undo: yes
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-022,Rectangle,catalogued; execution evidence unverified,"[""E46""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-022
category: Draw
name: Rectangle
stage: R1
operation: CreateElement
shortcut: R
inputs: two corners
invalid_examples: zero area
preview: required before commit
undo: yes
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
CMD-023,Polygon,catalogued; execution evidence unverified,"[""E46""]",docs/commands/COMMAND-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/commands/COMMAND-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: CMD-023
category: Draw
name: Polygon
stage: R2
operation: CreateElement
shortcut: 
inputs: centre radius sides
invalid_examples: less than 3 sides
preview: required before commit
undo: yes
ipad: Pencil precise action with finger navigation where applicable
accessibility: Command palette, keyboard route, status and model-tree alternative
performance_budget: normal feedback <=32 ms; common commit <=100 ms",,,,,,,,,
