id,decision,status,evidence
D-001,Web-first editor,proposed,ADR-001
D-002,Plan-first semantic model,proposed,ADR-002
D-003,Modular monolith,proposed,ADR-003
D-004,Light appearance first,proposed,Blueprint
D-005,"Canvas 2D as the v1 2D renderer backend, behind a renderer abstraction; PixiJS WebGL kept as the documented upgrade path, not the initial choice (supersedes the earlier 'WebGL first, WebGPU optional' framing - ARQ-115/116/117 spikes showed Canvas 2D alone meets the protected benchmark's pan/zoom target in the available test environment, while PixiJS/WebGL could only be measured through a software GPU emulation there, which is not representative of real hardware) - proposed pending a real-device (section 121 supported device matrix) validation run before Accepted",proposed,"ADR-008; docs/research/RENDERER-BENCHMARK-CANVAS-2D.md; RENDERER-BENCHMARK-PIXIJS-WEBGL.md; RENDERER-BENCHMARK-CANVASKIT.md"
D-006,Purpose-built planar geometry first,proposed,ADR-007
D-007,"Superseded as canonical storage by D-015 (native SQLite .arq format, ADR-0019). Role narrowed to the device-local derived/index/view-state cache tier only (ADR-0022), which is exactly what packages/local-storage/src/derived-cache.ts already implements. The rest of packages/local-storage (journal-append.ts, snapshot.ts, archive-export.ts, safe-mode.ts, recovery-report.ts) is NOT deleted or bypassed by this correction - it stays in place, real and in use, pending a future separately-numbered cutover issue once packages/arqfs (D-015) is proven. This row only corrects docs/architecture/PERSISTENCE-AND-RECOVERY.md's previous single-tier ""Dexie first"" claim, which had zero mention of the SQLite tier (ARQ-218).",superseded,"ADR-006; ADR-0022; packages/local-storage/src/derived-cache.ts; docs/architecture/PERSISTENCE-AND-RECOVERY.md; ARQ-218"
D-008,Review collaboration before co-authoring,proposed,ADR-013
D-009,Bounded AI after manual command stability,proposed,ADR-014
D-010,No DWG promise in early releases,proposed,ADR-012
D-011,"Project access gates use the single workspace role (owner/administrator/editor/commenter/viewer) uniformly across every project in that workspace; no per-project ACL in v1 - external per-project access goes through share_link tokens instead",proposed,database/schema.sql (workspace_membership; no project_membership table exists)
D-012,"OPEN - who can resolve a comment or change an issue's status/assignee: the same role that can create one (commenter+), or does resolving/reassigning require editor+? RBAC-MATRIX.csv deliberately leaves this unanswered rather than guessing.",undecided,api/openapi.yaml (updateComment/updateIssue) vs security/RBAC-MATRIX.csv
D-013,"OPEN - ENTITLEMENT-MATRIX-DRAFT.csv gates 'Roles and approvals' to team/enterprise tiers only, but the DB schema's workspace_role enum and RBAC-MATRIX.csv (invite_member/change_role) are not tier-scoped anywhere - does a free/professional-tier owner get invite_member/change_role at all, or only a single implicit owner-only workspace with no distinct roles? This needs a business decision, not an assumption.",undecided,business/ENTITLEMENT-MATRIX-DRAFT.csv vs security/RBAC-MATRIX.csv vs database/schema.sql (workspace_role)
D-014,"(= ARQ-058, ADR-0004) Split representation, resolved by user decision this session: existing runtime code (packages/geometry-2d's coordinate-system.ts, packages/editor-shell's viewport-controller.ts and every snap-*.ts, metric/imperial numeric-input parsers) keeps double-precision floating-point millimetres unchanged - zero migration of shipped, tested code, and it matches IFC/DXF's own native floating-point representation with no lossy import/export conversion. The canonical .arq storage and cross-platform semantic hash (ARQ-200, ARQ-214, ARQ-222, ARQ-224) instead use exact integer micrometres (i64), because docs/architecture/SHARED-RUST-CORE.md requires 'the same model operation must produce the same semantic result and model hash on all supported targets' and explicitly forbids 'platform-dependent floating-point formatting as a canonical value' - raw floats risk drift between native Rust, WASM and JS. Documented edge: Number.MAX_SAFE_INTEGER (2^53) micrometres is approximately 9,000 km, far beyond any building-scale project - a noted boundary, not a real limit.",proposed,"docs/adr/0004-units-and-numeric-representation.md; ADR-0019; ADR-0020; docs/architecture/SHARED-RUST-CORE.md; packages/geometry-2d/src/coordinate-system.ts; ARQ-224"
D-015,"Native SQLite `.arq` file format: application ID 0x41525131 (""ARQ1""), versioned schema via PRAGMA user_version, frozen v1 header (see docs/architecture/ARQ-FILE-FORMAT.md)",proposed,"ADR-0019; docs/architecture/ARQ-FILE-FORMAT.md; ARQ-193; ARQ-194"
D-016,"Shared Rust core for deterministic operations, validation, hashing and migrations, plus selected geometry predicates only - compiled to native and WebAssembly targets. Narrowly scoped: does not replace TypeScript UI or renderer code, and does not (yet) implement the full module list in docs/architecture/SHARED-RUST-CORE.md speculatively ahead of real need.",proposed,"ADR-0020; docs/architecture/SHARED-RUST-CORE.md; ARQ-203"
D-017,"Local-first replica: every device edits a local project replica; sync moves typed operations and content-addressed resources only, never raw SQLite pages",proposed,"ADR-0021; ARQ-206"
D-018,"Canonical (.arq) and derived (device-local, replaceable, reproducible) data are strictly separated - see D-007's narrowed scope",proposed,"ADR-0022; ARQ-218"
D-019,"Progressive project opening: open the last active view from indexed canonical data before loading inactive resources and 3D detail",proposed,"ADR-0023; ARQ-210"
D-020,"SQLite WebAssembly loaded directly in an Arq-owned dedicated Worker (not the deprecated Worker1/Promiser APIs); opfs-sahpool as the primary single-writer VFS, opfs/opfs-wl benchmarked for multi-tab; one active project writer enforced via application lock + BroadcastChannel",approved for prototype,"ADR-0024; ARQ-196; ARQ-220"
D-021,"Three.js WebGLRenderer as the Release 1 production 3D renderer; WebGPURenderer kept as a separate benchmarked capability/lab branch, not a Release 1 dependency, promoted only after visual/device/performance/context-loss parity passes",approved for release 1,ADR-0025
D-022,"React Aria Components as the primary foundation for ordinary interface controls, with a controlled escape to lower-level hooks for specialist widgets; custom canvas interactions must provide equivalent keyboard/focus/status/assistive-technology access through the model tree, inspector and command system",approved for prototype,ADR-0026
D-023,".arq has two valid physical containers for one unchanged logical content (@arq/project-format's manifest/model/operations/views/sheets, ARQ-076 through ARQ-080, with its own existing migration registry): the new SQLite file (ADR-0019, D-015) is the live working project file; the existing zip-of-files archive remains the portable export/interchange format. packages/arqfs (ARQ-195) stores @arq/project-format's existing entries as SQLite rows/blobs rather than reimplementing serialization, checksums or migration.",proposed,"ADR-0019; packages/project-format/src/archive.ts; packages/project-format/src/migration.ts; ARQ-195; ARQ-218"
