id,title,route,access,goal,file
PUB-001,Marketing home,/,public,"Explain the product and route users to product, security, pricing and sign-up.",docs/pages/PUB-001-marketing-home.md
PUB-002,Product overview,/product,public,Describe the complete product direction without unsupported compatibility claims.,docs/pages/PUB-002-product-overview.md
PUB-003,For architects,/architects,public,Explain the residential and small-practice workflow.,docs/pages/PUB-003-for-architects.md
PUB-004,For students,/students,public,Explain learning use without weakening professional positioning.,docs/pages/PUB-004-for-students.md
PUB-005,Collaboration,/collaboration,public,"Explain viewing, comments, issues and later co-authoring.",docs/pages/PUB-005-collaboration.md
PUB-006,AI,/ai,public,"Explain previewable, validated and undoable AI operations.",docs/pages/PUB-006-ai.md
PUB-007,Interoperability,/interoperability,public,Publish format support accurately.,docs/pages/PUB-007-interoperability.md
PUB-008,iPad,/ipad,public,Describe browser and future native iPad value.,docs/pages/PUB-008-ipad.md
PUB-009,Pricing,/pricing,public,Present approved plans and limits after research.,docs/pages/PUB-009-pricing.md
PUB-010,Security,/security,public,Explain security and privacy without overclaiming certification.,docs/pages/PUB-010-security.md
PUB-011,Documentation index,/docs,public,Route users to learning and technical documentation.,docs/pages/PUB-011-documentation-index.md
PUB-012,Changelog,/changelog,public,Publish release changes and migrations.,docs/pages/PUB-012-changelog.md
PUB-013,Status,/status,public,Show service health and incidents.,docs/pages/PUB-013-status.md
PUB-014,Contact and support,/contact,public,"Route sales, support, security and press enquiries.",docs/pages/PUB-014-contact-and-support.md
PUB-015,Privacy notice,/legal/privacy,public,Publish lawyer-approved privacy notice.,docs/pages/PUB-015-privacy-notice.md
PUB-016,Terms,/legal/terms,public,Publish lawyer-approved product terms.,docs/pages/PUB-016-terms.md
PUB-017,Open-source notices,/legal/open-source,public,Publish generated third-party notices.,docs/pages/PUB-017-open-source-notices.md
AUTH-001,Sign in,/sign-in,anonymous,Authenticate a user securely.,docs/pages/AUTH-001-sign-in.md
AUTH-002,Sign up,/sign-up,anonymous,Create an account and accept current terms.,docs/pages/AUTH-002-sign-up.md
AUTH-003,Verify email,/verify-email,anonymous,Verify email ownership.,docs/pages/AUTH-003-verify-email.md
AUTH-004,Forgot password,/forgot-password,anonymous,Request account recovery.,docs/pages/AUTH-004-forgot-password.md
AUTH-005,Reset password,/reset-password,anonymous,Set a new password from a valid token.,docs/pages/AUTH-005-reset-password.md
APP-001,Recent projects,/app,signed-in,Show recent and owned projects.,docs/pages/APP-001-recent-projects.md
APP-002,Shared with me,/app/shared,signed-in,Show projects shared with the user.,docs/pages/APP-002-shared-with-me.md
APP-003,Templates,/app/templates,signed-in,Create a project from controlled templates.,docs/pages/APP-003-templates.md
APP-004,Archived projects,/app/archived,signed-in,Restore or permanently delete archived projects.,docs/pages/APP-004-archived-projects.md
APP-005,New project,/app/new,signed-in,Create a project with units and initial level.,docs/pages/APP-005-new-project.md
