id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
EDGE-001,Hidden object receives pointer hit,catalogued; execution evidence unverified,"[""E04""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-001
area: Selection
scenario: Hidden object receives pointer hit
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
EDGE-002,Inspector displays a different element than the canvas highlight,catalogued; execution evidence unverified,"[""E04""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-002
area: Selection
scenario: Inspector displays a different element than the canvas highlight
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
EDGE-003,Candidate cycling order changes without pointer movement,catalogued; execution evidence unverified,"[""E04""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-003
area: Selection
scenario: Candidate cycling order changes without pointer movement
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
EDGE-004,Selection is lost while editing a property,catalogued; execution evidence unverified,"[""E04""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-004
area: Selection
scenario: Selection is lost while editing a property
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
EDGE-005,Snap jitters between equal candidates,catalogued; execution evidence unverified,"[""E11""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-005
area: Snapping
scenario: Snap jitters between equal candidates
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
EDGE-006,Snap uses stale derived geometry,catalogued; execution evidence unverified,"[""E11""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-006
area: Snapping
scenario: Snap uses stale derived geometry
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
EDGE-007,Snap tolerance changes incorrectly with zoom,catalogued; execution evidence unverified,"[""E11""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-007
area: Snapping
scenario: Snap tolerance changes incorrectly with zoom
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
EDGE-008,Perpendicular snap appears on an invalid extension,catalogued; execution evidence unverified,"[""E11""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-008
area: Snapping
scenario: Perpendicular snap appears on an invalid extension
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
EDGE-009,Rounded display value is stored as authoritative,catalogued; execution evidence unverified,"[""E03""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-009
area: Numeric input
scenario: Rounded display value is stored as authoritative
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
EDGE-010,Imperial fraction parses incorrectly,catalogued; execution evidence unverified,"[""E03""]",quality/EDGE-CASE-CATALOG.csv,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/quality/EDGE-CASE-CATALOG.csv,"Preserve source stage and applicability. This is coverage allocation, not proof of implementation or a confirmed defect. Revalidate detailed owning capability before execution.",category/title coverage allocation; source stage remains controlling,"id: EDGE-010
area: Numeric input
scenario: Imperial fraction parses incorrectly
expectedSafeBehaviour: No silent project mutation or data loss. Explain the state and provide a safe next action.
fixtureRequired: yes",,,,,,,,,
