id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
@arq/api,apps/api,source inventory; capability gate required,"[""E33""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/apps/api,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/marketing,apps/marketing,source inventory; capability gate required,"[""E27""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/apps/marketing,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/web,apps/web,source inventory; capability gate required,"[""E25""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/apps/web,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/arqfs,packages/arqfs,source inventory; capability gate required,"[""E07""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/arqfs,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/arqscript,packages/arqscript,source inventory; capability gate required,"[""E36""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/arqscript,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/bim-core,packages/bim-core,source inventory; capability gate required,"[""E05""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/bim-core,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/collaboration,packages/collaboration,source inventory; capability gate required,"[""E35""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/collaboration,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/command-system,packages/command-system,source inventory; capability gate required,"[""E04""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/command-system,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/derived-cache,packages/derived-cache,source inventory; capability gate required,"[""E18""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/derived-cache,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/design-system,packages/design-system,source inventory; capability gate required,"[""E10""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/design-system,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/dxf-adapter,packages/dxf-adapter,source inventory; capability gate required,"[""E34""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/dxf-adapter,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/editor-shell,packages/editor-shell,source inventory; capability gate required,"[""E04""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/editor-shell,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/file-ingress,packages/file-ingress,source inventory; capability gate required,"[""E34""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/file-ingress,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/geometry-2d,packages/geometry-2d,source inventory; capability gate required,"[""E03""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/geometry-2d,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/geometry-3d,packages/geometry-3d,source inventory; capability gate required,"[""E18""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/geometry-3d,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/geometry-occt,packages/geometry-occt,source inventory; capability gate required,"[""E46""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/geometry-occt,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/icons,packages/icons,source inventory; capability gate required,"[""E10""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/icons,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/ifc-adapter,packages/ifc-adapter,source inventory; capability gate required,"[""E34""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/ifc-adapter,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/input-system,packages/input-system,source inventory; capability gate required,"[""E22""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/input-system,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/local-storage,packages/local-storage,source inventory; capability gate required,"[""E07""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/local-storage,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/mcp-server,packages/mcp-server,source inventory; capability gate required,"[""E36""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/mcp-server,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/model-context,packages/model-context,source inventory; capability gate required,"[""E36""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/model-context,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/model-renderer,packages/model-renderer,source inventory; capability gate required,"[""E18""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/model-renderer,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/operations,packages/operations,source inventory; capability gate required,"[""E06""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/operations,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
@arq/pdf-export,packages/pdf-export,source inventory; capability gate required,"[""E20""]",,https://github.com/ruddvz/Arq/tree/a02ccc69e44e41324324c9482a43edbfb58e7905/packages/pdf-export,"Reuse owning package; existence/tests do not establish a reachable, integrated, released capability.",explicit architecture allocation,,,,,,,,,,
