id,number,title,area,phase,epic,priority,labels,dependencies,file
ARQ-001,1,docs: add complete blueprint v1.0,docs,Phase 0,Documentation,critical,type: feature;area: docs;priority: critical;state: ready,,backlog/issues/001-docs-add-complete-blueprint-v1-0.md
ARQ-002,2,docs: add ADR template,docs,Phase 0,Documentation,critical,type: feature;area: docs;priority: critical;state: ready,ARQ-001,backlog/issues/002-docs-add-adr-template.md
ARQ-003,3,docs: add dependency and licence policy,docs,Phase 0,Documentation,critical,type: feature;area: docs;priority: critical;state: ready,ARQ-002,backlog/issues/003-docs-add-dependency-and-licence-policy.md
ARQ-004,4,research: create architect interview guide,research,Phase 0,Research,critical,type: research;area: research;priority: critical;state: ready,ARQ-003,backlog/issues/004-research-create-architect-interview-guide.md
ARQ-005,5,research: create workflow synthesis template,research,Phase 0,Research,critical,type: research;area: research;priority: critical;state: ready,ARQ-004,backlog/issues/005-research-create-workflow-synthesis-template.md
ARQ-006,6,research: conduct first six architect interviews,research,Phase 0,Research,critical,type: research;area: research;priority: critical;state: ready,ARQ-005,backlog/issues/006-research-conduct-first-six-architect-interviews.md
ARQ-007,7,research: conduct second six architect interviews,research,Phase 0,Research,critical,type: research;area: research;priority: critical;state: ready,ARQ-006,backlog/issues/007-research-conduct-second-six-architect-interviews.md
ARQ-008,8,research: map competitor residential plan workflow,research,Phase 0,Research,critical,type: research;area: research;priority: critical;state: ready,ARQ-007,backlog/issues/008-research-map-competitor-residential-plan-workflow.md
ARQ-009,9,research: document browser and iPad support matrix,research,Phase 0,Research,critical,type: research;area: research;priority: critical;state: ready,ARQ-008,backlog/issues/009-research-document-browser-and-ipad-support-matrix.md
ARQ-010,10,legal: complete Arq working-name clearance,legal,Phase 0,Legal and governance,critical,type: feature;area: legal;priority: critical;state: ready,ARQ-009,backlog/issues/010-legal-complete-arq-working-name-clearance.md
ARQ-011,11,chore: initialise pnpm monorepo,chore,Phase 0,Repository foundation,critical,type: feature;area: chore;priority: critical;state: ready,ARQ-010,backlog/issues/011-chore-initialise-pnpm-monorepo.md
ARQ-012,12,chore: enable TypeScript strict mode,chore,Phase 0,Repository foundation,critical,type: feature;area: chore;priority: critical;state: ready,ARQ-011,backlog/issues/012-chore-enable-typescript-strict-mode.md
ARQ-013,13,chore: configure formatting and linting,chore,Phase 0,Repository foundation,critical,type: feature;area: chore;priority: critical;state: ready,ARQ-012,backlog/issues/013-chore-configure-formatting-and-linting.md
ARQ-014,14,chore: configure unit and property test runners,chore,Phase 0,Repository foundation,critical,type: feature;area: chore;priority: critical;state: ready,ARQ-013,backlog/issues/014-chore-configure-unit-and-property-test-runners.md
ARQ-015,15,chore: add pull request and issue templates,chore,Phase 0,Repository foundation,critical,type: feature;area: chore;priority: critical;state: ready,ARQ-014,backlog/issues/015-chore-add-pull-request-and-issue-templates.md
ARQ-016,16,chore: add SBOM and licence scan,chore,Phase 0,Repository foundation,critical,type: feature;area: chore;priority: critical;state: ready,ARQ-015,backlog/issues/016-chore-add-sbom-and-licence-scan.md
ARQ-017,17,chore: add dependency update automation,chore,Phase 0,Repository foundation,critical,type: feature;area: chore;priority: critical;state: ready,ARQ-016,backlog/issues/017-chore-add-dependency-update-automation.md
ARQ-018,18,design: create monochrome tokens,design,Phase 0,Design system,critical,type: feature;area: design;priority: critical;state: ready,ARQ-017,backlog/issues/018-design-create-monochrome-tokens.md
