area,current,state,observed,url,important
MCP,2026-07-28,official stable,2026-08-06,https://modelcontextprotocol.io/specification/2026-07-28,"stateless core, server/discover, request _meta, Mcp-Method and Mcp-Name headers, MRTR, Tasks extension, auth hardening"
MCP TypeScript SDK,v2 with explicit 2026-07-28 opt-in,official guidance,2026-08-06,https://ts.sdk.modelcontextprotocol.io/v2/migration/support-2026-07-28,v2 construction does not automatically emit 2026-07-28 wire format
SQLite,3.53.4,official release 2026-07-24,2026-08-06,https://www.sqlite.org/releaselog/3_53_4.html,includes WAL reset corruption fix inherited from 3.53 line and OPFS Web Locks VFS in 3.53 series
IFC,4.3.2.0,"latest official, ISO 16739-1:2024",2026-08-06,https://standards.buildingsmart.org/IFC/RELEASE/IFC4_3/index.html,living docs dated 20260630 add clarifications but do not change official schema
STEP AP242,ISO 10303-242:2025,current published edition indicated by ISO,2026-08-06,https://www.iso.org/standard/72059.html,edition 5 is committee draft and must not be treated as released
OCCT,8.0.0,official final 2026-05-07,2026-08-06,https://dev.opencascade.org/content/open-cascade-technology-800-release,major source-incompatible changes require a measured adapter bakeoff
OpenUSD,26.05,current official release,2026-08-06,https://openusd.org/release/,"composition system, not canonical precision authoring model"
glTF,2.0 with specification patch 2.0.1,official registry,2026-08-06,https://registry.khronos.org/glTF/,"derived runtime delivery, not exact geometry authority"
CityGML,3.0,official OGC standard,2026-08-06,https://www.ogc.org/standards/citygml/,semantic city exchange and GML encoding
3D Tiles,1.1,official OGC community standard,2026-08-06,https://www.ogc.org/standards/3dtiles/,"massive spatial streaming, not authoring truth"
Revit,2027 product documentation,current product generation,2026-08-06,https://help.autodesk.com/view/RVT/2027/ENU/,"central/local worksharing lessons, proprietary RVT internals not fully public"
