id,phase,task,disposition,evidence_path,evidence_symbol
V3-001,P0,"Resolve actual repository HEAD, default branch, worktree and open PR heads",owner-authority,,
V3-002,P0,Read CLAUDE.md and FAST-KERNEL at resolved HEAD,owner-authority,,
V3-003,P0,Compile task with ZEUS and record contract,owner-authority,,
V3-004,P0,"Build current file-level conflict map for PR-294, PR-296 and PR-298",owner-authority,,
V3-005,P0,Create evidence transfer ledger,owner-authority,,
V3-006,P0,Verify ADR-0028 and ADR-0029 states,owner-authority,,
V3-007,P0,Verify critical environment reviewer settings,owner-authority,,
V3-008,P0,Verify repository visibility and licence state,owner-authority,,
V3-009,P0,Verify canonical Vercel project and surplus projects,owner-authority,,
V3-010,P0,Record delivery stop and prohibited mutations,owner-authority,,
V3-011,P1,Extend the existing lifecycle reducer only,pre-existing,apps/web/src/file-handling/file-state-machine.ts,lastKnownGoodProject
V3-012,P1,Add no-false-open invariant,implemented-in-this-change,apps/web/src/file-handling/file-state-machine.ts,LastKnownGoodProject
V3-013,P1,Carry capability and last-known-good through all states,pre-existing,apps/web/src/file-handling/file-state-machine.ts,lastKnownGoodProject
V3-014,P1,Add cancellation safe points,pre-existing,apps/web/src/file-handling/file-state-machine.ts,lastKnownGoodProject
V3-015,P1,Add project replacement policy,implemented-in-this-change,apps/web/src/file-handling/file-state-machine.ts,LastKnownGoodProject
V3-016,P1,Bind every state to Z Voice message IDs,pre-existing,docs/product/voice/state-language-map.json,file-flow
V3-017,P1,Add state coverage generator check,pre-existing,scripts/verify-arq-state-language-coverage.mjs,verifyMachine
V3-018,P1,Add property-based transition tests,implemented-in-this-change,apps/web/src/file-handling/file-state-machine.test.ts,every state and event pair
V3-019,P1,Add stale async event rejection,implemented-in-this-change,apps/web/src/file-handling/file-state-machine.ts,requestId
V3-020,P1,Add close and teardown states,pre-existing,apps/web/src/file-handling/file-state-machine.ts,lastKnownGoodProject
V3-021,P2,Make Worker request input distributive and fully typed,implemented-in-this-change,packages/arqfs/src/arqfs-worker-protocol.ts,parseArqfsWorkerRequest
V3-022,P2,Gate all archive reads on accepted open state,pre-existing,packages/arqfs/src/arqfs-worker-handler.ts,readRefusal
V3-023,P2,Gate all writes on writable ownership,pre-existing,packages/arqfs/src/arqfs-worker-handler.ts,writeRefusal
V3-024,P2,Apply SQLite hardening before untrusted schema queries,pre-existing,packages/arqfs/src/arqfs-safe-mode.ts,resolveArqfsSafeModePlan
V3-025,P2,Refuse missing WAL sidecar dependencies,pre-existing,packages/arqfs/src/arqfs-safe-mode.ts,resolveArqfsSafeModePlan
V3-026,P2,Add source completeness policy,pre-existing,packages/file-ingress/src/policy.ts,maxSourceBytes
V3-027,P2,Add source size and page-count bounds,pre-existing,packages/file-ingress/src/policy.ts,maxSourceBytes
V3-028,P2,Add Worker import database request,pre-existing,packages/arqfs/src/arqfs-worker-protocol.ts,importDatabase
V3-029,P2,Release Worker on every rejection path,implemented-in-this-change,workers/import-export-worker/src/handler.ts,cancelledRequestIds
V3-030,P2,Key writer locks per project,pre-existing,packages/arqfs/src/arqfs-single-writer-lock.ts,writerLockNameForProject
V3-031,P2,Preserve rejection reason through protocol,implemented-in-this-change,packages/file-ingress/src/import-rejection.ts,IMPORT_REJECTION_CODES
V3-032,P2,"Add protocol request ID, project ID and revision",implemented-differently,workers/arqfs-worker/src/arqfs-project-filename.ts,readProjectIdFromWorkerSearch
V3-033,P3,Preserve selected source digest and provenance,pre-existing,apps/web/src/project/open-native-project.ts,workingCopyIdForBytes
V3-034,P3,Stage source bytes into ARQ-owned OPFS working project,pre-existing,apps/web/src/project/open-native-project.ts,importDatabase
V3-035,P3,Verify staged byte identity before open,implemented-differently,apps/web/src/project/open-native-project.ts,verifyEntryDigestsOfEntries
V3-036,P3,Open through sqlite-wasm Worker,pre-existing,apps/web/src/project/open-native-project.ts,ArqfsWorkerClient
V3-037,P3,Validate application ID and compatibility floors,pre-existing,apps/web/src/project/native-open-policy.ts,resolveNativeOpenCapabilities
